case,cores,no_l2,fixed_l2,selected_l2,hardware_ratio,combined_ratio,search_ratio,no_l2_added,fixed_l2_added,selected_l2_added,fixed_hit_rate,selected_hit_rate,fixed_hit_bytes,fixed_miss_bytes,selected_hit_bytes,selected_miss_bytes,search_seconds,total_seconds,input_sha256,seed_sha256
6,5,27216,27216,27216,1.0,1.0,1.0,219928,219928,219928,0.11739027775378219,0.11739027775378219,81536,613036,81536,613036,0.6686135437339544,1.1467632837593555,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,ce5c15f429016150be8364d22049fb1db0095d3689158b7f6c9ba3f2fe87bc15
7,1,1012562,1012562,1012562,1.0,1.0,1.0,0,0,0,0.0,0.0,0,880128,0,880128,1.407036067917943,4.768622994422913,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,daec296d7670a2cdf14726837593f233992cb2924cc05aea99b64cd3d98ba3dc
7,2,507494,507494,507494,1.0,1.0,1.0,27648,27648,27648,0.0,0.0,0,907776,0,907776,4.3452141508460045,6.971326917409897,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,2ee81bc3343bcce06ac3d1c31877f472130c56e8e0cecf967c321ce3934cbd76
7,3,338094,338094,338094,1.0,1.0,1.0,55296,55296,55296,0.0,0.0,0,935424,0,935424,6.336142526939511,8.684998400509357,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,67ccd6e068f401d0a4c57a1b2cab26e3fb24369c1c79947d59565057665adc13
7,4,254398,254398,254398,1.0,1.0,1.0,82944,82944,82944,0.0,0.0,0,963072,0,963072,5.155257446691394,8.21989388205111,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,e05fe6918ffc9bbe70da434052284f9d91e75031429543a8001becb4e748a97e
7,5,203834,203834,203834,1.0,1.0,1.0,110592,110592,110592,0.0,0.0,0,990720,0,990720,5.838253477588296,8.403659095987678,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,fb131946dabbd1e453472bef81501caf18a00c1156f85a710df7e8d169904bc2
8,1,487605,487605,487605,1.0,1.0,1.0,0,0,0,0.0,0.0,0,1990872,0,1990872,0.16902351565659046,0.7018717806786299,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,9e837531d5fc299623938b51cd3f5363fd3b18cedeafa36ff575eb419ad17f94
8,2,244266,244266,244266,1.0,1.0,1.0,0,0,0,0.0,0.0,0,1990872,0,1990872,0.8291737902909517,1.4243900775909424,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,f7f35ecdde538a97ce99791a152aec2ab46a0decc7a3e1a04acdacd74ee79ae6
8,3,163359,163359,163359,1.0,1.0,1.0,0,0,0,0.0,0.0,0,1990872,0,1990872,1.2805467676371336,2.0473249033093452,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,eb1e2d30f797edf54a7049d5aa23c677eba17e34520625e3000e6ab32e8084b2
8,4,123060,123060,123060,1.0,1.0,1.0,0,0,0,0.0,0.0,0,1990872,0,1990872,1.2426585052162409,2.0786423552781343,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,b49c0a346e6d083cfb5956a769ddd1d3fc3806b5b7e50b9aafd0d609903cc902
8,5,100603,100603,100603,1.0,1.0,1.0,0,0,0,0.0,0.0,0,1990872,0,1990872,1.2907895371317863,2.078859208151698,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,44a04d4e63cc94a2b56ef602cc8cc01e75c1b0bfc13f51071212c548ed73489b
9,1,153261,153261,153261,1.0,1.0,1.0,0,0,0,0.0,0.0,0,495194,0,495194,1.9589799959212542,7.780465001240373,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,3eb4d1451332199a40830977b5bfaadeb4b0199ac5531752766b9415c783fab2
9,2,90801,90800,90800,1.000011013215859,1.000011013215859,1.0,547342,547342,547342,0.06627601484912267,0.06627601484912267,52774,743502,52774,743502,9.623713079839945,14.657695947214961,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,64b22eb09f6c36e2882799c18226ffac5b63ec5fe96d0515104d4ebff1916481
9,3,72361,72333,72333,1.0003870985580579,1.0003870985580579,1.0,737384,737384,737384,0.0851243935622449,0.0851243935622449,77834,836522,77834,836522,10.699692657217383,18.072336131706834,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,296879740978c39e16b3c31ef979d77099fc2c41f79a43c4f09772c4e9f473e8
9,4,62725,60949,60949,1.0291391163103578,1.0291391163103578,1.0,838982,838982,838982,0.18672961188959317,0.18672961188959317,184242,802436,184242,802436,6.331622317433357,12.100502148270607,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,4b860947d0778834243615acc033161d29424f4c2d4e228e0d629a6723db4147
9,5,56088,53324,53324,1.0518340709624183,1.0518340709624183,1.0,898504,898504,898504,0.23491969948212474,0.23491969948212474,243958,794516,243958,794516,7.626928236335516,12.889400452375412,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,b161ecb7dc750db49f076a676c218e53e424b9d952f59cfc503364f61d291d2c
10,1,86969,86969,86969,1.0,1.0,1.0,0,0,0,0.0,0.0,0,384078,0,384078,0.13570396229624748,0.5238726697862148,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,04cf08aa1e3b9223bb51277aea1d2486a7135d2448de77afd4863cc503d17534
10,2,42106,42069,41842,1.0008795074758134,1.006309449835094,1.005425170880933,311944,311944,300424,0.14184036778515194,0.12753256590491346,82624,499890,73408,502194,0.44694493152201176,0.8868729993700981,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,e057cb003d5abf9fe9344a437427d1b3e0e86946370cd44cffc1ae65885c30a1
10,3,30856,30856,30856,1.0,1.0,1.0,48384,48384,48384,0.11188035018105637,0.11188035018105637,48384,384078,48384,384078,0.6036445032805204,1.0100514870136976,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,7bf65042c608e3a2eb56e556ed520af16cfac6366809c2282c03b99eeecc7cac
