case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,admitted_old_candidates
50,2,routed,87435,1022694,149690,1.712014639446446,12,12,0,25.24689101614058,1.6076404228806496,True,0
50,2,reserve,87435,1022694,149690,1.712014639446446,12,12,0,25.174614330753684,1.237227775156498,True,0
50,3,routed,60421,1831624,149690,2.477449893249036,12,12,0,29.961361598223448,2.0977200157940388,True,0
50,3,reserve,60421,1831624,149690,2.477449893249036,12,12,0,30.50461993739009,2.1761223170906305,True,0
50,4,routed,57912,2053712,149690,2.584783809918497,12,12,0,30.38745877146721,2.0476326253265142,True,0
50,4,reserve,57912,2053712,149690,2.584783809918497,12,12,0,27.94378005154431,1.337388152256608,True,0
50,5,routed,57017,1337182,149690,2.625357349562411,12,12,0,31.506157035008073,2.0730206705629826,True,0
50,5,reserve,57017,1337182,149690,2.625357349562411,12,12,0,27.992548670619726,1.2411878034472466,True,0
64,2,routed,14726,75590,19116,1.2981121825342932,12,10,2,3.3519491199404,0.23572339490056038,True,0
64,2,reserve,14130,47620,19116,1.3528662420382165,12,12,0,4.815535988658667,0.25907337479293346,True,2
64,3,routed,13455,66186,19116,1.4207357859531773,12,10,2,2.266017187386751,0.13983945548534393,True,0
64,3,reserve,13074,41446,19116,1.4621385956860946,12,12,0,2.3647774029523134,0.18347016349434853,True,2
64,4,routed,10160,130956,19116,1.881496062992126,12,10,2,5.718811416998506,0.10434494353830814,True,0
64,4,reserve,10160,130956,19116,1.881496062992126,12,12,0,6.304400848224759,0.27429188415408134,True,2
64,5,routed,11391,159314,19116,1.6781669739267844,12,10,2,5.851567042991519,0.29521080292761326,True,0
64,5,reserve,11391,159314,19116,1.6781669739267844,12,12,0,6.620190639048815,0.23349681869149208,True,2
69,2,routed,17661,179494,25144,1.423701942132382,12,10,2,1.9539433680474758,0.2671083640307188,True,0
69,2,reserve,17030,364198,25144,1.4764533176746917,12,12,0,5.549965966492891,0.2975388206541538,True,2
69,3,routed,16631,278084,25144,1.511875413384643,12,10,2,3.700759096071124,0.10594072379171848,True,0
69,3,reserve,14179,325098,25144,1.7733267508286903,12,12,0,6.389506999403238,0.2525202054530382,True,2
69,4,routed,15620,361896,25144,1.609731113956466,12,10,2,3.6933175548911095,0.24081465415656567,True,0
69,4,reserve,15620,361896,25144,1.609731113956466,12,12,0,4.063588760793209,0.14940308965742588,True,2
69,5,routed,16803,355242,25144,1.496399452478724,12,10,2,4.808966811746359,0.3011931609362364,True,0
69,5,reserve,13147,433008,25144,1.9125275728303035,12,12,0,6.949786698445678,0.34250675700604916,True,2
71,2,routed,13765,173988,18919,1.3744278968398111,12,10,2,2.1783949993550777,0.16995975002646446,True,0
71,2,reserve,12313,171622,18919,1.5365061317306912,12,12,0,2.9775165040045977,0.14631040580570698,True,2
71,3,routed,12869,234308,18919,1.47012199860129,12,10,2,2.811012202873826,0.18389723636209965,True,0
71,3,reserve,9867,250696,18919,1.9174014391405696,12,12,0,4.07048169337213,0.18582857213914394,True,2
71,4,routed,11417,208904,18919,1.6570903039327318,12,10,2,1.7561814859509468,0.1204234529286623,True,0
71,4,reserve,10732,223406,18919,1.762858740216176,12,12,0,4.652153681963682,0.17781678400933743,True,2
71,5,routed,12234,253002,18919,1.546427987575609,12,10,2,2.86722045019269,0.08029856905341148,True,0
71,5,reserve,10542,307214,18919,1.7946309998102827,12,12,0,5.871410008519888,0.21648022904992104,True,2
86,2,routed,74609,1019206,118403,1.5869801230414562,12,10,2,26.077710401266813,1.473633237183094,True,0
86,2,reserve,74609,1019206,118403,1.5869801230414562,12,12,0,33.37056388705969,2.2385165207087994,True,2
86,3,routed,64401,1574634,118403,1.8385273520597507,12,10,2,28.521888440474868,2.3836449049413204,True,0
86,3,reserve,63229,2197292,118403,1.8726059244966708,12,12,0,46.162915382534266,2.8499868102371693,True,2
86,4,routed,63006,1919826,118403,1.879233723772339,12,10,2,26.397290458902717,1.8304071240127087,True,0
86,4,reserve,62299,2353614,118403,1.9005602016083725,12,12,0,60.02956952340901,1.706464421004057,True,2
86,5,routed,65815,2223540,118403,1.7990275773000075,12,10,2,30.92002242989838,2.199641715735197,True,0
86,5,reserve,60402,2265748,118403,1.9602496606072646,12,12,0,65.96247269585729,2.128912290558219,True,2
88,2,routed,132639,1032234,243623,1.8367373095394266,12,12,0,15.452604055404663,0.9442856088280678,True,0
88,2,reserve,132639,1032234,243623,1.8367373095394266,12,12,0,18.167606303468347,0.8856285829097033,True,0
88,3,routed,122079,1572244,243623,1.9956175918872205,12,12,0,17.354449559003115,0.7867953255772591,True,0
88,3,reserve,122079,1572244,243623,1.9956175918872205,12,12,0,14.436042577028275,1.0450286529958248,True,0
88,4,routed,112565,2028164,243623,2.1642873006707237,12,12,0,13.57553176395595,0.8226001542061567,True,0
88,4,reserve,112565,2028164,243623,2.1642873006707237,12,12,0,18.418895568698645,0.8624456040561199,True,0
88,5,routed,112833,2034888,243623,2.1591467035353133,12,12,0,18.960326857864857,1.3845673725008965,True,0
88,5,reserve,112833,2034888,243623,2.1591467035353133,12,12,0,22.635873299092054,1.4130278192460537,True,0
