case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
73,4,3295138,137012864,3.0595459127963687,26.998975368216634,routed
73,5,2848898,94477312,3.538780960216898,22.631327694281936,routed
74,1,1682239,6070280,1.0,0.0,prescribed_reference
74,2,814840,3776512,2.064502233567326,14.95083499699831,routed
74,3,542996,5619712,3.0980688623857264,15.310070091858506,routed
74,4,408908,6623232,4.113979183581637,14.175125194713473,routed
74,5,328499,7151616,5.120986669670227,19.005439890548587,routed
75,1,1441809,0,1.0,0.0,prescribed_reference
75,2,754663,4745798,1.9105335759140172,47.402775056660175,routed
75,3,557783,12507404,2.5848923326813473,65.55696990340948,routed
75,4,462730,11096688,3.115875348475353,68.85652142390609,routed
75,5,378054,12427608,3.8137647002809123,74.86069747246802,routed
76,1,6185113,28280832,1.0,0.0,prescribed_reference
76,2,3065214,31095808,2.017840516192344,172.26926030777395,routed
76,3,2046322,17912832,3.0225511918456625,251.01820958033204,routed
76,4,1527039,19563520,4.050396224326949,272.70288669504225,routed
76,5,1227673,22311936,5.038078543716446,308.73399300314486,routed
77,1,495320,0,1.0,0.0,prescribed_reference
77,2,248734,57344,1.9913642686564763,14.790344264358282,routed
77,3,168976,114688,2.9313038538017233,12.232443232089281,routed
77,4,127832,114688,3.8747731397459164,10.237754572182894,routed
77,5,114837,172032,4.313243989306582,12.095704477280378,routed
78,1,2296143,12644568,1.0,0.0,prescribed_reference
78,2,1050081,2782080,2.1866341739351536,3.065792728215456,routed
78,3,718909,6965760,3.193927186890135,3.3612470868974924,routed
78,4,540759,6950784,4.246148469096215,5.13099617138505,routed
78,5,470359,10766304,4.8816818642781366,5.123560888692737,routed
79,1,31052251,32448512,1.0,0.0,prescribed_reference
79,2,15118882,194232320,2.053872171235942,144.37658400274813,routed
79,3,10181692,39960576,3.049812447675691,127.7387541718781,routed
79,4,7620379,31801344,4.074895881162866,107.96303822286427,routed
79,5,6063012,34084864,5.121588246897747,149.22362110763788,routed
80,1,292138,548864,1.0,0.0,prescribed_reference
80,2,145825,1675264,2.0033464769415397,2.2239841297268867,routed
80,3,100325,3047424,2.9119162721156244,2.9968250915408134,routed
80,4,90584,2666496,3.225050781594984,2.7536895982921124,routed
80,5,89345,3047424,3.2697744697520847,2.404956666752696,routed
81,1,151795,0,1.0,0.0,prescribed_reference
81,2,76860,0,1.9749544626593807,9.37413414940238,routed
81,3,51943,0,2.9223379473653814,10.101658906787634,routed
81,4,39588,0,3.834369000707285,8.19960611499846,routed
81,5,30943,0,4.905632937982743,10.881218338385224,routed
82,1,721041,0,1.0,0.0,prescribed_reference
82,2,407535,3389668,1.7692738047038905,17.77440968900919,routed
82,3,288553,5338828,2.4988165085790133,31.81567015312612,routed
82,4,235778,6420240,3.058135194971541,34.80062962695956,routed
82,5,206503,7708408,3.491673244456497,36.553236957639456,routed
83,1,1057993,13934688,1.0,0.0,prescribed_reference
83,2,442847,5589600,2.389071169049356,18.90741565823555,routed
83,3,290664,5739712,3.639917568051083,18.675891196355224,routed
83,4,220741,6471456,4.7929156794614505,14.342863192781806,routed
83,5,201107,7741824,5.26084621619337,16.931840647011995,routed
84,1,2507412,0,1.0,0.0,prescribed_reference
84,2,1175864,32004864,2.1323996652674118,76.6681776046753,routed
84,3,836220,0,2.998507569778288,40.37790288776159,routed
84,4,629028,0,3.986169137144928,35.62795883975923,routed
84,5,503472,0,4.98024120507198,33.97502884082496,routed
85,1,3187899,0,1.0,0.0,prescribed_reference
85,2,1843091,17607566,1.729648183404943,223.88822858780622,routed
85,3,1276351,31680716,2.497666394275556,272.14104317873716,routed
85,4,995687,27902578,3.201707966459339,279.1528612803668,routed
85,5,890475,38398484,3.5799983155057693,326.7970541436225,routed
86,1,118403,0,1.0,0.0,prescribed_reference
86,2,74609,1019206,1.5869801230414562,15.887114128097892,routed
86,3,64401,1574634,1.8385273520597507,17.487630857154727,routed
86,4,63006,1919826,1.879233723772339,21.168597366660833,routed
86,5,65815,2223540,1.7990275773000075,26.203321123495698,routed
87,1,3974071,7902720,1.0,0.0,prescribed_reference
87,2,1987606,10142208,1.999425942566082,155.99896687082946,routed
87,3,1374901,11036160,2.890441566338231,148.81929381936789,routed
87,4,1046846,12607488,3.796232683699417,161.00842624343932,routed
87,5,833349,12487680,4.768795546643723,155.5245889890939,routed
88,1,243623,0,1.0,0.0,prescribed_reference
88,2,132639,1032234,1.8367373095394266,12.33056065440178,routed
88,3,122079,1572244,1.9956175918872205,15.361251596361399,routed
88,4,112565,2028164,2.1642873006707237,12.902344351634383,routed
88,5,112833,2034888,2.1591467035353133,13.596811074763536,routed
89,1,693092,0,1.0,0.0,prescribed_reference
89,2,329513,1467520,2.103382871085511,22.231973370537162,routed
89,3,225452,2429184,3.074233096180118,16.283635230734944,routed
89,4,165365,1827200,4.191285943216521,27.76962674036622,routed
89,5,133148,2186320,5.205425541502689,27.53984199464321,routed
90,1,1178363,21233592,1.0,0.0,prescribed_reference
90,2,470442,3196848,2.5047997415196774,7.9370750561356544,routed
90,3,342250,5523456,3.442989043097151,5.903238954022527,routed
90,4,294798,7360608,3.9971879049382966,7.5975759997963905,routed
90,5,267434,7981056,4.406182459971432,8.767087746411562,routed
91,1,9186769,53947008,1.0,0.0,prescribed_reference
91,2,4532609,52032556,2.0268170053935823,219.9636731557548,routed
91,3,3042680,60113508,3.01930173399766,260.3561372663826,routed
91,4,2314443,67112896,3.969321776341003,251.24552144482732,routed
91,5,1872567,71035764,4.90597612795697,291.68521579541266,routed
92,1,4815554,66000096,1.0,0.0,prescribed_reference
92,2,2017778,10740320,2.3865628428895547,113.76500244811177,routed
92,3,1348585,21856448,3.5708197851822465,132.16342702507973,routed
92,4,1018849,18053920,4.726464863782563,121.31778393127024,routed
92,5,826308,19945856,5.8277954467341475,139.9372634962201,routed
93,1,74205,0,1.0,0.0,prescribed_reference
93,2,37827,8192,1.9616940280751844,1.4596899654716253,routed
93,3,25103,16384,2.956021192686133,1.4239528086036444,routed
93,4,19779,24576,3.751706355225239,0.9242535885423422,routed
93,5,15876,32768,4.674036281179139,1.022015929222107,routed
94,1,94892,0,1.0,0.0,prescribed_reference
94,2,47498,106272,1.997810434123542,0.89220274053514,routed
94,3,32728,212544,2.8994133463700806,0.906126257032156,routed
