case,cores,our_makespan,external_makespan,makespan_reduction_cycles,makespan_reduction_pct,our_speedup,external_speedup,our_added_bytes,external_added_bytes,external_partition_added_bytes,external_spill_added_bytes,external_method,external_tasks,external_candidate_count,external_search_seconds,external_final_seconds
case_026,3,50092,41670,8422,16.81306396230935,1.9804160344965265,2.380681545476362,1425620,95664,95664,0,component_lpt,3,5,0.4317174929965404,0.0
case_026,4,50038,42208,7830,15.648107438346857,1.9825532595227626,2.3503364291129643,1454292,191328,191328,0,component_lpt,4,8,0.9112460339965764,0.0
case_026,5,50757,44780,5977,11.775715664834408,1.9544693342790158,2.2153416703885664,1458396,211680,211680,0,component_pipe_balance,5,8,0.9422062650010048,0.0
case_027,1,2363952,2363952,0,0.0,1.0,1.0,1400832,1400832,0,1400832,official_singlecore,1,1,0.6469204340028227,0.0
case_027,2,1157230,1119508,37722,3.2596804438184286,2.042767643424384,2.1115990238569085,18079744,3317760,3317760,0,component_batches,8,3,0.7024608869978692,0.0
case_027,3,816499,837049,-20550,-2.5168432539415235,2.8952295103851933,2.8241500796249683,19480576,3686400,3686400,0,component_round_robin,3,3,0.9552919630004908,0.0
case_027,4,644890,559196,85694,13.288157670300361,3.6656670129789575,4.227412213249022,19480576,3317760,3317760,0,component_round_robin,4,3,0.7925533560010081,0.0
case_027,5,644890,558753,86137,13.35685155607933,3.6656670129789575,4.230763861670542,19480576,5529600,5529600,0,component_round_robin,5,3,0.8764752049974049,0.0
case_028,1,43836040,43836040,0,0.0,1.0,1.0,277412256,277412256,0,277412256,official_singlecore,1,1,188.37078717999975,0.0
case_028,2,20808183,22648929,-1840746,-8.846260146789367,2.106673129508713,1.9354575220753263,310682880,290612448,163284480,127327968,component_batches,77,3,146.32103168499816,0.0
case_028,3,13957556,16289869,-2332313,-16.71003863427093,3.1406673202672444,2.6910001547587643,310848768,291085560,165432960,125652600,component_batches,78,3,81.3155668549989,0.0
case_028,4,10676362,13397525,-2721163,-25.487736365627168,4.105896746476,3.271950602816565,310848768,290612448,163284480,127327968,component_batches,77,3,61.39494723400276,0.0
case_028,5,9004662,11427204,-2422542,-26.903197477040226,4.868149409716878,3.836112490859531,286344264,291085560,165432960,125652600,component_batches,78,3,54.41444840999611,0.0
case_029,1,37555,37555,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.17688019500201335,0.0
case_029,2,21011,19740,1271,6.049212317357575,1.7873970777211936,1.9024822695035462,215168,0,0,0,component_round_robin,2,3,0.2699092609946092,0.0
case_029,3,15845,12743,3102,19.57715367623856,2.3701483117702744,2.9471082162756024,77858,0,0,0,component_round_robin,3,3,0.26000322999607306,0.0
case_029,4,19188,11028,8160,42.52657911194497,1.9572128413591827,3.405422560754443,182572,0,0,0,component_round_robin,4,2,0.1321780319995014,0.0
case_029,5,15573,9383,6190,39.74828228343929,2.4115456238361266,4.002451241607162,139392,0,0,0,component_round_robin,5,2,0.11328813100044499,0.0
case_030,1,2808034,2808034,0,0.0,1.0,1.0,5519360,5519360,0,5519360,official_singlecore,1,1,27.84642445099962,0.0
case_030,2,1480948,1399653,81295,5.489389229061385,1.8961057376761372,2.0062358313096174,26450440,14469120,14469120,0,component_batches,42,4,16.663616169000306,0.0
case_030,3,1033665,933857,99808,9.655739528764155,2.716580323412324,3.0069207598165457,28039688,9242624,3901440,5341184,component_pipe_balance,3,4,20.164660593003646,33.1591955570002
case_030,4,826197,700342,125855,15.233049744794522,3.3987463038476298,4.009518206818954,27921928,10404864,5819392,4585472,component_pipe_balance,4,4,18.757958230999066,32.4330762569989
case_030,5,822040,561102,260938,31.742737579679822,3.415933531215026,5.004498290863337,27385352,11479040,7463936,4015104,component_pipe_balance,5,4,20.603198732002056,31.713568997001857
case_031,1,1414369,1414369,0,0.0,1.0,1.0,3491328,3491328,0,3491328,official_singlecore,1,1,7.781728756999655,0.0
case_031,2,767070,712262,54808,7.145110615719556,1.8438591002124969,1.985742605951181,14805214,5250048,1731072,3518976,component_lpt,2,5,11.851191740002832,9.465232614998968
case_031,3,549864,473822,76042,13.829237775158948,2.5722160388750672,2.985021801435982,16894362,7544832,3462144,4082688,component_lpt,3,5,12.084138523001457,9.61164621500211
case_031,4,444414,358129,86285,19.415454958664668,3.182548254555437,3.9493283146575675,16928154,7953408,5125632,2827776,component_lpt,4,5,11.968355773999065,8.909048545003316
case_031,5,383314,284848,98466,25.68807818133436,3.6898443573675888,4.965346430376902,16928154,7931904,6274560,1657344,component_lpt,5,5,12.403356696999253,8.211634933002642
case_032,1,41443,41443,0,0.0,1.0,1.0,0,0,0,0,official_singlecore,1,1,0.15295621200129972,0.0
case_032,2,24411,20102,4309,17.651878251607883,1.6977182417762484,2.0616356581434685,422634,6216,6216,0,component_batches,5,5,0.5571793250019255,0.0
case_032,3,21016,14137,6879,32.732204035020935,1.971973734297678,2.93152719813256,566472,12432,12432,0,component_lpt,3,5,0.5574419430013222,0.0
case_032,4,16054,11004,5050,31.456334869814377,2.5814750218014204,3.7661759360232643,308914,18576,18576,0,component_lpt,4,5,0.5926348489992961,0.0
case_032,5,18512,10415,8097,43.73919619706137,2.238710025929127,3.9791646663466156,641388,12360,12360,0,component_pipe_balance,5,4,0.39044733000264387,0.0
case_033,1,1774196,1774196,0,0.0,1.0,1.0,4592640,4592640,0,4592640,official_singlecore,1,1,3.770418955002242,0.0
case_033,2,933029,889697,43332,4.644228635980232,1.9015443249888266,1.994157561506895,17253152,6664224,2077728,4586496,component_lpt,2,5,14.807198175003577,0.0
case_033,3,651228,592065,59163,9.084836647072915,2.7243853151277277,2.9966236815214544,17306912,6990912,3989568,3001344,component_lpt,3,5,6.4653043350008375,4.148455112001102
