case,cores,q2_no_l2,q2_plan_l2,q3_plan_no_l2,q3_plan_l2,q3_plan_added,q3_plan_cache_ratio,graph_sha256,plan_sha256,evaluation_seconds
9,3,72361,72333,72361,72333,737384,1.0003870985580579,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,296879740978c39e16b3c31ef979d77099fc2c41f79a43c4f09772c4e9f473e8,1.1688841000432149
9,4,62725,60949,62725,60949,838982,1.0291391163103578,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,4b860947d0778834243615acc033161d29424f4c2d4e228e0d629a6723db4147,1.1082616000203416
9,5,56088,53324,56088,53324,898504,1.0518340709624183,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,b161ecb7dc750db49f076a676c218e53e424b9d952f59cfc503364f61d291d2c,0.9927070999983698
10,1,86969,86969,86969,86969,0,1.0,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,04cf08aa1e3b9223bb51277aea1d2486a7135d2448de77afd4863cc503d17534,0.05087329994421452
10,2,42106,42069,41842,41842,300424,1.0,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,98b4be21e685c8e3500c14cc6b36b7926e7bac7ceb338bcf938b176b028c8ae6,0.07275299995671958
10,3,30856,30856,30856,30856,48384,1.0,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,7bf65042c608e3a2eb56e556ed520af16cfac6366809c2282c03b99eeecc7cac,0.06841109995730221
10,4,26340,25769,26151,25583,485920,1.022202243677442,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,55044b4eb73b5b766b85eb68f0a0cc00dce818c79d60a9ec5c4387f1a4ab3035,0.11644379992503673
10,5,22006,21371,22006,21371,562432,1.029713162697113,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,f4653b8fe7a686af683523800481af7d479572650e604488d021499c723d7873,0.120236000046134
11,1,184697,184697,184697,184697,0,1.0,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,938fe72d4f151dd8a5f60e6b9fc9fd81bc6e81b270b6fed741da49cc97d4c51e,0.07787149993237108
11,2,92646,92646,92646,92646,180224,1.0,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,2ca28ed0ef9c5837f3620c7f3fdf9417aafb9737464635293dafd71b42389108,0.07873210008256137
11,3,64180,64180,63639,63580,1660928,1.0009279647687952,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,92ceea624485729445c72a2882c398e3e8f6c2f28404494802484a996d3be293,0.127958899945952
11,4,46880,46880,46880,46880,540672,1.0,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,5125f5b7729b8d2d6958927e59d716fdfe3a71d6ade168083062eeb25770ed15,0.09639850002713501
11,5,46194,43952,46205,43594,2033664,1.0598935633344038,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,4f9bd62346812ccffcaee40763f47d160baf3d6b8e6cf232880665040ee41a4e,0.16326679999474436
12,1,59088,59088,59088,59088,0,1.0,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,b1e544818b255ab54c5868e649c86d35f523cf071e352e0a343d241a43bb9976,0.11845629999879748
12,2,25535,25535,25535,25535,94960,1.0,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,c748ed72ae78021cd03793e778ad95702ae9d844338f4f8a00dba9d8490f8e59,0.1279001000802964
12,3,18128,18128,17926,17926,189892,1.0,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,92aabe72e5cf41e403b0547714fd01873ed9cf2f31291f3c845e0c0b168d0881,0.12280250003095716
12,4,14948,14948,13663,13663,39168,1.0,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,1cee2aea9cb54475c8f15fddf27582a51d92007b209b5438b6d1329b502cb7e0,0.11758800002280623
12,5,12519,12460,12519,12460,25344,1.0047351524879615,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,c5c852dbb00aaa12dbfef8d944845d1e11137fb162865b47b5ad383bf244a94f,0.11021389998495579
13,1,263949,263949,263949,263949,0,1.0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,98a0668cad932fa3f39cf3e83cffe8c6d06e58eac83dfdc2a7e398400296a4d8,0.491185599938035
13,2,132198,132198,132198,132198,8192,1.0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,58479b2440506c4ba5949c48a35b25c504e23b69a6aa59cb13dea908f9f8be53,0.383510599960573
13,3,88351,88351,88351,88351,16384,1.0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,a60967a79659a18638dc98cc71769ebb39c3ff52d584820123497d61bfec7a44,0.30049079994205385
13,4,66982,66982,66982,66982,24576,1.0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,59532ba3ad51d226d5f4e9e61b5d45886283121657c851d715ac441fd3e202a7,0.2859568999847397
13,5,54363,54363,54363,54363,32768,1.0,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,63ffcd1ddf022fd537c89bb94e20fbbf5f1a838fbb8b53dfed160e880454089a,0.2705963999032974
14,1,17698626,17689602,17698626,17689602,71010720,1.0005101301883446,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,c623ac4e30dda9460f0d4aae5e350a7afd8481b58e14bd20816733a7f1450e54,13.924575099954382
14,2,8909568,8904096,8909568,8904096,69998520,1.0006145486302034,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,0f69882767ece5ee86542be95df810dfa5ec43017840ed85016eba4ce019a411,12.062743599992245
14,3,5951263,5936435,5949072,5929070,57041304,1.0033735476221397,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,e44c04dfa236f33c232cc691b9efa1f62a737c8a77d230b161933d4fcea0c42d,16.137648300034925
14,4,4526637,4510849,4502504,4476730,59878296,1.0057573273349074,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,6611464d86ea72b5844bf62a034791efa6bd1a29f9ac07c2a73d4de98ea56459,15.761826500063762
14,5,3663108,3647377,3640083,3607077,62443416,1.0091503452795711,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,06dc299e966d217772b4f9c91a955d23efac930eebe58ac57bd475b2e2beae25,14.918239799910225
15,1,177362,177362,177362,177362,180256,1.0,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,192472c06a1727349dfc6dd1658dac61ace67d2c8749562f39e0d37b55dbf02c,0.15809140005148947
15,2,87493,87493,87493,87493,109824,1.0,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,83ebf985dd1202ffc18e892d5aa1d06fb68af5f316e714b3beac0d269d45d147,0.13397500000428408
15,3,61018,61018,61018,61018,298252,1.0,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,8fc98b198462d9f8e54d0dfd657ddfc6894b205a8c54ade2e6cc5a5aa5ff625b,0.10942510003224015
15,4,48866,48792,48866,48792,365824,1.0015166420724708,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,36c96b09f6be9ccf6b97d8cf8feb0807d362edb51bab69342dfc13ab3a056597,0.11466209997888654
15,5,42569,42569,42569,42569,326144,1.0,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,d891468d653dcf64c74ba35b71f9322aa01f6dc68c23c7f43ccec115ea56a7d7,0.1214499999769032
16,1,7715523,7715523,7715523,7715523,0,1.0,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,19d365422ae9ccef1999767d13ce89179d5ab1c75a35ee55f2d898297a4e7d23,9.010793599998578
16,2,4027025,4026193,4027025,4026193,404200,1.0002066468249287,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,8307d7bb21230a7be92c2d1a0f24919bf4541787d887cc83e0626e19b60690df,7.784039100049995
16,3,2877849,2877209,2877849,2877209,341100,1.000222437786063,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,464af56c331e9c382ba4b346ceb4300c876a94df136f9cc645dee82017631ff3,7.325560900033452
16,4,2244367,2240364,2244367,2240364,605676,1.001786763222405,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,2cbd710aba156e0b8060b890600493dbc82d9ff79538fa79b345dd416a5501a4,7.265605599968694
16,5,2088965,2086755,2088965,2086755,444880,1.0010590605988725,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,f63d5ed3280681bcaec15f590a224e6f8d4f04cec4f7c56a2eec24a49ffe4dea,7.207806200021878
17,1,162810,162810,162810,162810,22528,1.0,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,11a9cba3896d9529e81ee2fbba62f805bc189c615225dbff3efd738ec6cdd340,0.13039459998253733
17,2,76658,76501,76658,76501,87552,1.0020522607547613,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,cf45a47f472e9d08c9ddd85b05f71215a8466395a393cb71c1b01ac2af95e64e,0.12244379997719079
17,3,49850,49801,49850,49801,175104,1.0009839159856229,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,18716960046cd36427a2b9bd81290be6520a0e8c0b4dcb1f806ce59a8052f0a2,0.1291559999808669
17,4,39668,39668,39668,39668,259200,1.0,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,3ddfd8554734ab1aa75d4eaba66605593f84e66f5e51e1cfe35c622304a21f56,0.1412716000340879
17,5,33081,33081,33081,33081,331776,1.0,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,4cd1f0a79390f110331b2a4d1f6a5ab840e9920a2e7b2b976a2ed9e235f5a170,0.13429109996650368
18,1,1004367,1003110,1004367,1003110,1970176,1.0012531028501361,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,890ceb0b49b4b6001da4358bccb39342fc92672fd85ec2418c40c0c47eea5675,0.33173159998841584
18,2,502491,500447,502491,500447,2638848,1.0040843485923585,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,5080926ca1ac8719c01e922198f2963c1cdde43368165d9555f860f621876fee,0.38726579991634935
18,3,337417,335889,337417,335889,3971072,1.0045491218825267,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,654a5e7aede4fbf52f4c10a39c1192f2b121818f89220909c78eda4ba9d30a29,0.36213330004829913
18,4,253676,253384,253676,253384,4938752,1.0011524010987276,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,dafe526ff06b3b248689f6bf74ac9af0717a04adb4ef1c33e7520cd369c4071f,0.35983939992729574
18,5,205917,203609,205917,203609,5320704,1.0113354517727606,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,1fd374e835e378aed96d18382b7aaa3eab48cebf7afd9abeee09ea57c5b6842e,0.4048809000523761
19,1,81144,81144,81144,81144,0,1.0,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,6edfe829f9c086542ff575000b32c8fd979560192429da428b1387bc6d93cca7,0.05398749990854412
19,2,38506,38506,37982,37982,370744,1.0,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,a30f8621d35f10a7f4533fb6040522c55ab810e50e38ee78824d10a08da068b9,0.07058390008751303
19,3,27716,27716,27716,27716,54336,1.0,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,3c68d01322597a46c75f2548e80e326a54ca00d69c4436594ae6127d1021e5ed,0.05558269994799048
19,4,22276,21470,22276,21470,762456,1.0375407545412203,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,a54b34c6ccd603b2c5ce3ce2c99d2ad711be5e31ca9a3b55d62b050fa6c011a1,0.0822817999869585
19,5,18267,18126,18009,18009,279644,1.0,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,ae42ef6b67692a3662272cd44a4c56942d1dcdaee483d378c3f5e892ee63ec53,0.06517830002121627
20,1,532746,532746,532746,532746,0,1.0,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,bbd6b9684fa70e119fd0e3f4f7d4a94282385196530028c52aa36ef7ca17c648,1.01049450004939
20,2,266580,266580,266580,266580,0,1.0,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,7beacb6743576781368a080da44cd438b916dcc136a99604e88f6c6138d03ec6,0.9108134999405593
20,3,177950,177950,177950,177950,0,1.0,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,c43ba3a622d73c478f1ae0357b6d57320c2c825e6619e920d9a48dc182dace2e,0.8061383999884129
20,4,133704,133704,133704,133704,0,1.0,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,3139451dffdb6ac2114595295407961517249df398ce0caaa6b502fd5f57fada,0.8154919999651611
20,5,107650,107650,107650,107650,0,1.0,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,fc7abc812efb1d2acfda6e0d090e318fc9b6d9bcb333b8ebddbbad6f44150df0,0.7686932999640703
21,1,6567937,6558837,6567937,6558837,4501504,1.0013874410966457,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,f348d8199a95196945fe11a61f21e5764ab4819e1e2976958b4ced376a8e9830,1.0478994000004604
21,2,3174339,3174060,3174339,3174060,33017856,1.0000879000396967,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,0e9a3a7bbc68706ed89a50a7ae90c7a06c5a529d8ac3f3e68573bafef29c51b0,1.0904303999850526
21,3,2090922,2090922,2090922,2090922,34854912,1.0,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,31451a9748692af407a67c6d4b1326a293fc891d2ce8fc30551145298e19659a,1.1776233999989927
21,4,1550324,1550324,1550324,1550324,4608000,1.0,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,8c4ea95a8e02fde840ef35267e9b04b6d7cd59135c429739162e27b861cfe8af,0.5865491000004113
21,5,1250168,1249380,1250168,1249380,11431936,1.0006307128335654,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,f0cc44a555b97b76c4e61dd995145f6de885cba0f7ab7a6e09eb12b74fa24d61,0.9300203999737278
22,1,56780,56780,56780,56780,0,1.0,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,bdc9c153727b9f7ea40409a9ffa15959f9bc5fe680e565eb6da09692918d3411,0.15387340006418526
22,2,27860,27860,27860,27860,145236,1.0,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,7994020474d4240905db901957284fcc0df2a2fb3eaeb24de8533318af1b78f0,0.1285014000022784
22,3,18978,18978,18978,18978,13824,1.0,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,28645d8916f4e5a3ada9d471126f6c3c3fc2048953ec6f77cc913ba1af0ae43c,0.12035829992964864
22,4,14336,14336,14336,14336,20736,1.0,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,c3eadd26ec5bf91f0ada14028de2653676de9d8601beb8ee3d8217ee2fde4cd6,0.15207780001219362
22,5,11479,11479,11479,11479,20736,1.0,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,b7e724e652daf5e21f98ef2afccf492e9d8891963d32488b611346051ef97217,0.1468726999592036
23,1,122614,122614,122614,122614,0,1.0,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,aa6e813822e96d6a1e60ea550fc498a806911951f3abc724b7d89438f2f8be11,0.11138889996800572
23,2,60965,60965,60965,60965,74016,1.0,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,6878ea34709c74ec4c45c10e7ddf5bc1ffe269cd78a17648577959a7ef2930f7,0.13966590003110468
23,3,40682,40682,40682,40682,207264,1.0,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,383cfec1eefce0968228c3f68ab913da8e6893521eb5acc151459656f424ef3c,0.15251980000175536
23,4,30516,30516,30516,30516,281280,1.0,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,de14178d52cafca22aed5f1bb44e30e2896b3eeda5f4da71d978dd16608ab720,0.109227400040254
