version,candidate,count,improving_calls,saved_cycles,evaluation_seconds
previous,region_boundary_5757_0,1,0,0,1.4637759774923325
previous,region_boundary_5781_0,1,1,13,2.2258830945938826
previous,region_boundary_6037_0,1,0,0,2.632179234176874
previous,region_boundary_6050_0,1,0,0,12.415565276518464
previous,region_boundary_609_0,1,1,21,0.326160317286849
previous,region_boundary_6203_0,1,0,0,1.103108987212181
previous,region_boundary_6259_0,1,0,0,1.1494893431663513
previous,region_boundary_6297_0,1,1,183,1.004666831344366
previous,region_boundary_643_0,1,0,0,0.19338782131671906
previous,region_boundary_648_0,1,0,0,2.5938251353800297
previous,region_boundary_657_0,1,1,44,0.1872343234717846
previous,region_boundary_6709_0,1,0,0,1.2167761344462633
previous,region_boundary_680_0,1,0,0,1.7748832497745752
previous,region_boundary_739_0,1,1,42,0.1437971591949463
previous,region_boundary_73_0,1,0,0,1.6678893566131592
previous,region_boundary_742_0,2,0,0,0.30817027390003204
previous,region_boundary_7597_0,2,2,1085,6.068281807005405
previous,region_boundary_784_0,1,1,334,0.4625514801591635
previous,region_boundary_8342_1,1,0,0,0.9333959184587002
previous,region_boundary_854_0,1,1,73,0.12999881245195866
previous,region_boundary_8758_0,1,1,16272,8.439730608835816
previous,region_boundary_9214_0,2,0,0,3.2160731088370085
previous,region_boundary_936_0,1,0,0,0.09551549516618252
previous,region_placement_0,36,4,15637,96.66349158994853
previous,region_placement_1,6,0,0,18.377498883754015
previous,region_repartition_1_0,1,1,314,6.743265965953469
previous,region_repartition_2_0,92,14,18375,50.576719488948584
previous,region_repartition_2_1,9,0,0,2.3405849505215883
previous,region_repartition_3_0,18,6,18878,56.02074019797146
previous,region_repartition_3_1,3,0,0,2.0521817300468683
previous,region_repartition_4_0,16,7,59025,29.31241549924016
previous,region_repartition_4_1,5,0,0,25.319908142089844
previous,single_task,400,0,0,87.71867338195443
previous,structural_component_lpt,193,186,13799164,637.8743572253734
previous,structural_component_pipe,55,14,262059,180.93559376336634
previous,structural_component_round_robin,35,12,4462966,350.00482297316194
