case,cores,structure,prefix8,final12,late_gain,search_seconds,late_evaluation_seconds
case_007,5,distributed_components,203834,203834,0,25.991107573732734,7.115208376199007
case_008,2,distributed_components,244266,244266,0,1.5579082999611273,0.42835539986845106
case_008,3,distributed_components,163359,163359,0,1.5156202999642119,0.4206460000714287
case_008,4,distributed_components,123060,123060,0,1.4231172000290826,0.3664420001441613
case_008,5,distributed_components,100603,100603,0,1.5511363999685273,0.4048203999409452
case_009,2,dominant_component,92259,92259,0,40.59786695614457,9.645758984610438
case_009,3,dominant_component,92004,92004,0,41.07842209748924,9.756840901449323
case_009,4,dominant_component,92368,92192,176,39.60864528641105,8.72699673473835
case_009,5,dominant_component,91903,91903,0,40.02630488201976,9.333933075889945
case_010,2,distributed_components,45626,45626,0,1.1436751999426633,0.24891580000985414
case_010,3,distributed_components,34518,34518,0,1.2128612999804318,0.28949319990351796
case_010,4,distributed_components,31873,30262,1611,1.1238476000726223,0.26164030004292727
case_010,5,distributed_components,31773,28842,2931,1.2383271000580862,0.2820279997540638
case_011,2,distributed_components,92646,92646,0,1.1634724999312311,0.30885599995963275
case_011,3,distributed_components,69625,69625,0,1.253800299949944,0.3498767999699339
case_011,4,distributed_components,46880,46880,0,1.3344503999687731,0.3575933000538498
case_011,5,distributed_components,47287,47047,240,1.4547642999095842,0.4303729999810457
case_012,2,distributed_components,30094,29489,605,1.9327172000193968,0.4518384000984952
case_012,3,distributed_components,20637,20230,407,1.7150847000302747,0.43366570002399385
case_012,4,distributed_components,16168,15724,444,2.037958599976264,0.47569860017392784
case_012,5,distributed_components,13406,13406,0,1.8328679000260308,0.4490182000445202
case_013,2,distributed_components,132198,132198,0,13.9469357393682,3.4037949964404106
case_013,3,distributed_components,88351,88351,0,14.116345904767513,3.702746292576194
case_013,4,distributed_components,66982,66982,0,13.7853725515306,3.3681903779506683
case_013,5,distributed_components,54363,54363,0,12.63535769842565,3.0898204389959574
case_014,2,distributed_components,8909568,8909568,0,311.56475827656686,76.605858232826
case_014,3,distributed_components,6002519,6002519,0,357.1129451543093,79.46198594011366
case_014,4,distributed_components,4543360,4543360,0,313.94561481289566,65.40906433574855
case_014,5,distributed_components,3694137,3694137,0,314.01190965250134,68.99021691083908
case_015,2,distributed_components,90480,90480,0,1.8245754999807104,0.44716010009869933
case_015,3,distributed_components,61018,61018,0,2.0704903999576345,0.47105849999934435
case_015,4,distributed_components,48866,48866,0,1.9287112000165507,0.48400290007703006
case_015,5,distributed_components,44068,44068,0,2.0725204000482336,0.49387190002016723
case_016,2,dominant_component,6439804,5440637,999167,119.73983779363334,36.0707765892148
case_016,3,dominant_component,6094005,4478897,1615108,121.93213598057628,36.46894212812185
case_016,4,dominant_component,6094005,4266542,1827463,122.72553174942732,37.52954514697194
case_016,5,dominant_component,6094005,4158373,1935632,122.27789946831763,37.47350606881082
case_017,2,distributed_components,81776,81117,659,8.16204003430903,1.987326031550765
case_017,3,distributed_components,55092,53799,1293,7.105870356783271,1.6918991729617119
case_017,4,distributed_components,41309,41101,208,7.1014857199043036,1.7703798040747643
case_017,5,distributed_components,34252,33081,1171,8.792205795645714,2.360694957897067
case_018,2,distributed_components,504287,501235,3052,17.818669594824314,4.764815956354141
case_018,3,distributed_components,341047,336388,4659,20.790859216824174,4.468738343566656
case_018,4,distributed_components,253676,253676,0,20.64489928819239,5.145014610141516
case_018,5,distributed_components,205219,203806,1413,21.422647716477513,5.275647979229689
case_019,2,distributed_components,41643,40136,1507,1.0341206999728456,0.2359973001293838
case_019,3,distributed_components,28363,27848,515,1.1255936999805272,0.26624770008493215
case_019,4,distributed_components,24501,24465,36,1.0413084001047537,0.2331789998570457
case_019,5,distributed_components,23450,23450,0,1.207967899972573,0.3020032999338582
case_020,2,distributed_components,266580,266580,0,33.70305010303855,9.531649814918637
case_020,3,distributed_components,177950,177950,0,38.37339797988534,8.972318585962057
case_020,4,distributed_components,133704,133704,0,36.48022636398673,10.326643269509077
case_020,5,distributed_components,107650,107650,0,36.09406760893762,9.25650928542018
case_021,2,distributed_components,3172377,3168548,3829,32.63503815419972,8.556807791814208
case_021,3,distributed_components,2124156,2124156,0,35.80320024676621,8.59570843167603
case_021,4,distributed_components,1550324,1550324,0,34.974353056401014,8.359388761222363
case_021,5,distributed_components,1250168,1249916,252,40.700626811012626,10.275857731699944
case_022,2,distributed_components,28303,28303,0,2.3317997999256477,0.5110795000800863
case_022,3,distributed_components,18978,18978,0,2.4297884999541566,0.5856135000940412
case_022,4,distributed_components,14336,14336,0,2.4005671000340953,0.5338905999669805
case_022,5,distributed_components,11603,11479,124,2.245570100028999,0.5356113000307232
case_023,2,distributed_components,61065,61065,0,1.800472299917601,0.4282586000626907
case_023,3,distributed_components,40682,40682,0,1.7728227000916377,0.4240002001170069
case_023,4,distributed_components,30516,30516,0,1.6921917999861762,0.38971869996748865
case_023,5,distributed_components,24940,24940,0,1.9564162999158725,0.45185400010086596
case_024,2,dominant_component,2133282,1803647,329635,30.001189816743135,9.05627167224884
case_024,3,dominant_component,2019026,1483888,535138,29.532953960821033,9.22320987470448
case_024,4,dominant_component,2019026,1413568,605458,29.19908127374947,8.316945737227798
case_024,5,dominant_component,2019026,1378992,640034,31.326928017660975,9.106937911361456
case_025,2,distributed_components,2431840,2431840,0,256.91284109279513,51.25764969736338
case_025,3,distributed_components,1622164,1622164,0,255.76419060118496,49.46276051737368
case_025,4,distributed_components,1217444,1217444,0,254.95160405524075,50.472666662186384
case_025,5,distributed_components,975282,975282,0,253.2495682965964,50.65034739859402
case_026,2,distributed_components,55057,51839,3218,0.9996700000483543,0.2342266000341624
case_026,3,distributed_components,42462,42174,288,1.1626142000313848,0.273931400035508
case_026,4,distributed_components,42654,42089,565,1.1360264000250027,0.2509978001471609
case_026,5,distributed_components,44595,43946,649,1.2205426000291482,0.2779569999547675
case_027,2,distributed_components,1116984,1116984,0,9.43078549951315,2.2334709763526917
case_027,3,distributed_components,837049,804739,32310,11.50374480895698,2.723082782700658
case_027,4,distributed_components,559196,559196,0,9.7811283711344,2.2524730805307627
case_027,5,distributed_components,558753,558753,0,11.51351574063301,2.909285333007574
case_028,2,distributed_components,20808183,20808183,0,193.37105559185147,37.08907528966665
case_028,3,distributed_components,13957556,13957556,0,178.829605916515,36.8200293276459
case_028,4,distributed_components,10694242,10676362,17880,185.94676604494452,37.88621648401022
case_028,5,distributed_components,9020934,9004662,16272,183.52695473097265,38.02498472109437
case_029,2,distributed_components,19740,19740,0,1.3090004000114277,0.35075960005633533
case_029,3,distributed_components,12743,12743,0,1.26424029993359,0.3404682001564652
case_029,4,distributed_components,11028,11028,0,1.3199237000662833,0.3639458998804912
case_029,5,distributed_components,9383,9383,0,1.255979000008665,0.33842650009319186
case_030,2,distributed_components,1403123,1399339,3784,86.91161340102553,22.23565191961825
case_030,3,distributed_components,933857,932367,1490,84.30239642597735,20.03269168920815
case_030,4,distributed_components,701900,700342,1558,81.90998287498951,20.467858241871
case_030,5,distributed_components,561102,560306,796,86.8363097384572,23.58117542974651
case_031,2,distributed_components,712262,712262,0,50.105165930464864,12.869711002334952
case_031,3,distributed_components,473822,473822,0,50.17245869524777,13.176253901794553
case_031,4,distributed_components,358129,356417,1712,52.51955673098564,12.575091624632478
case_031,5,distributed_components,284848,284848,0,52.99186907336116,12.039325734600425
case_032,2,distributed_components,20947,20900,47,1.5312421000562608,0.36560779996216297
case_032,3,distributed_components,14137,14009,128,1.4079525000415742,0.34893560013733804
case_032,4,distributed_components,11004,10933,71,1.5029746000654995,0.37077420006971806
case_032,5,distributed_components,10313,10280,33,1.589308699942194,0.36610049998853356
case_033,2,distributed_components,889697,888544,1153,27.72547520697117,6.625484578311443
case_033,3,distributed_components,592065,590697,1368,27.5938411783427,6.683189807459712
case_033,4,distributed_components,443447,443447,0,28.968060983344913,7.250553360208869
