case,cores,version,position,candidate,makespan,added_copy_bytes,seconds,cache_hit,plan_sha256,improvement_over_prefix
case_001,2,current,2,multilevel,159346,80640,0.06035639997571707,False,62c3c691bb615047cea9367fcbceb9a35980fb4ca1b69e983e64cac07f3814f9,0
case_001,2,current,3,grain_0.5,128337,443520,0.08170410001184791,False,fecac0b546f9add7a6f856d6adb647c024223fb3e2a552312e8e9c48081fb4f7,5631
case_001,2,current,4,directed_split,128876,456960,0.06905109994113445,False,57cdc67bf633f1071d8d71de696c979c6ed73f122a2ed7183d86eacbebbcaac5,0
case_001,2,current,5,structural_component_lpt,116868,1152,0.043349399929866195,False,ded4801bde790507d6b2d67b607be90c580caa9539f05441253f35582516723d,11469
case_001,2,current,6,grain_1.0,124789,241920,0.062010299996472895,False,ab7721ca421f4d50415edf2b339a71fb366dec366d1ad6935ca89336a7e76a68,0
case_001,2,current,7,directed_split,117278,2304,0.06164560001343489,False,7ed5c882ef61035b35b9a1c6d3a5c65fe0c6eaac50d9abed1a8042ed82241f0a,0
case_001,2,current,8,region_repartition_2_0,117278,2304,0.0767522999085486,False,3b3a2294bd5a9913a48eb68468f772b3b47342c4a970246125c8ed1a6283cd65,0
case_001,2,current,9,directed_split,117278,2304,0.06598990003112704,False,0de544e3cdf6c43404c851e61b9cc39cb69ce80e8d68c4bc7231bd430d9b1579,0
case_001,2,current,10,grain_0.25,145675,887040,0.08793539996258914,False,3c0a255c09bc5ca37bc8e8ac2602457064ae9528d920d84c1207088841791267,0
case_001,2,current,11,directed_migrate,233520,1152,0.04897050000727177,False,6528f1b03278efd55d5720e977a508e89fd86bb3145cc9c0c6951cdf0266b54f,0
case_001,3,current,0,single_task,233110,0,0.009837300051003695,True,556160826059e486ae287228eb680ff517fefe099d12e05d46a8fab6e029f54f,0
case_001,3,current,1,greedy,98772,147840,0.06454210006631911,False,dfb3019880621f76bcf539038dd151c5f91c32e6bbe8d0372915b8cde4733024,134338
case_001,3,current,2,multilevel,117916,120960,0.062478599953465164,False,0f7ff8950de671e5e05a075b2135f18172dedab555c56702a12ed0e7f522cbec,0
case_001,3,current,3,grain_0.5,90501,443520,0.08046129997819662,False,21c32091d0866ab26c82d15a4057d77c2a885ac640169b3d51f13ba361e80625,8271
case_001,3,current,4,directed_split,90401,456960,0.07002430001739413,False,95f013b66b23919d8a7c0c224914313f5a1f6b9511dbcf91fa809dba8e265e02,100
case_001,3,current,5,structural_component_lpt,78545,2304,0.04192390001844615,False,fc5f779390effbd7bbe09887052c446d55028c9e7e4fe533a435f4496f944a17,11856
case_001,3,current,6,grain_1.0,85849,241920,0.06152660003863275,False,2a8c0ddf5a516bd378b6c9850903adaf2a575f3e02768c0548a270637fb81845,0
case_001,3,current,7,directed_split,79007,15744,0.059059000108391047,False,12da5e677870625aa53038a769780e555e7fb0238a41207209a26a675779e464,0
case_001,3,current,8,region_repartition_2_0,79007,15744,0.06914110004436225,False,3fb903073c408cec7d076e0c6abf061c8820d989c07a3e4a227d7e9f5e5c2842,0
case_001,3,current,9,directed_split,79007,15744,0.06411349994596094,False,274d8e4def6af4e3f41b9bae3644e770e8b62276e734a44949138273decfea3c,0
