case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
6,5,legacy,27216,219928,82837,3.0436875367430924,12,12,0,1.7446260806173086,0.08906614407896996,True,27216
6,5,routed,27216,219928,82837,3.0436875367430924,12,12,0,1.6880549639463425,0.07806431129574776,True,27216
7,2,legacy,507494,27648,1012562,1.9952196479170197,12,8,4,13.488700395449996,1.3398543447256088,True,507494
7,2,routed,507494,27648,1012562,1.9952196479170197,12,8,4,9.270476097241044,1.293864170089364,True,507494
7,3,legacy,338094,55296,1012562,2.994912657426633,12,8,4,11.617859371006489,0.7583647519350052,True,338094
7,3,routed,338094,55296,1012562,2.994912657426633,12,8,4,10.075640067458153,0.7540972791612148,True,338094
7,4,legacy,254398,82944,1012562,3.980227831979811,12,8,4,9.271716360002756,0.7245031595230103,True,254398
7,4,routed,254398,82944,1012562,3.980227831979811,12,8,4,10.548923406749964,0.67889853566885,True,254398
7,5,legacy,203834,110592,1012562,4.967581463347626,12,8,4,12.56161449290812,0.6685255877673626,True,203834
7,5,routed,203834,110592,1012562,4.967581463347626,12,8,4,13.020922003313899,1.1227389965206385,True,203834
8,2,legacy,244266,0,487605,1.9962049568912579,12,8,4,1.4463187959045172,0.1483494658023119,True,244266
8,2,routed,244266,0,487605,1.9962049568912579,12,8,4,1.4362718500196934,0.14100760407745838,True,244266
8,3,legacy,163359,0,487605,2.984867684057811,12,8,4,1.3889018800109625,0.14183087833225727,True,163359
8,3,routed,163359,0,487605,2.984867684057811,12,8,4,1.4018758609890938,0.13589020259678364,True,163359
8,4,legacy,123060,0,487605,3.962335446123842,12,8,4,1.9056609198451042,0.2375102285295725,True,123060
8,4,routed,123060,0,487605,3.962335446123842,12,8,4,1.391427805647254,0.13814165443181992,True,123060
8,5,legacy,100603,0,487605,4.846823653370178,12,8,4,2.3883008286356926,0.13957214914262295,True,100603
8,5,routed,100603,0,487605,4.846823653370178,12,8,4,1.5518996827304363,0.15113710798323154,True,100603
9,2,legacy,92042,0,153261,1.665120271180548,12,12,0,19.33243719674647,1.1257550939917564,True,92042
9,2,routed,90801,547342,153261,1.687877886807414,12,12,0,20.575222343206406,1.3447299171239138,True,90844
9,3,legacy,87234,764410,153261,1.7568952472659742,12,12,0,29.56527872942388,1.3827520329505205,True,87234
9,3,routed,72361,737384,153261,2.11800555547878,12,12,0,28.58407711982727,1.2985104583203793,True,72361
