case,cores,config,makespan,singlecore_makespan,speedup,added_copy_bytes,seconds,official_calls,initial_makespan,best_candidate,noncopy_ops
case_089,4,shared_region,207130,693092,3.3461690725631246,7573424,38.75284050218761,11,210014,directed_split,5120
case_089,4,shared_resource,210014,693092,3.300218080699382,7550384,25.563687216490507,7,678594,grain_2.0,5120
case_089,5,shared_region,186952,693092,3.707325944627498,7632672,37.76398602500558,11,197083,region_repartition_4_0,5120
case_089,5,shared_resource,197083,693092,3.516751825373066,7550384,31.845078252255917,7,674123,grain_2.0,5120
case_090,2,shared_region,625263,1178363,1.884587765468291,18405960,3.5093685999745503,11,651384,region_repartition_3_0,1664
case_090,2,shared_resource,625263,1178363,1.884587765468291,18405960,2.084984299959615,5,843568,region_repartition_3_0,1664
case_090,3,shared_region,550183,1178363,2.1417655580052455,25354368,3.6156867999816313,11,551031,region_boundary_1435_0,1664
case_090,3,shared_resource,515911,1178363,2.2840431779900023,18405960,2.541796699981205,7,794791,region_repartition_3_0,1664
case_090,4,shared_region,527825,1178363,2.232488040543741,19402440,3.500681799952872,11,542656,region_placement_0,1664
case_090,4,shared_resource,527643,1178363,2.2332580930667136,19402440,2.0496624000370502,5,816630,local_reschedule,1664
case_090,5,shared_region,509204,1178363,2.3141275402392756,19405512,3.6621163999661803,11,536539,directed_split,1664
case_090,5,shared_resource,509204,1178363,2.3141275402392756,19405512,2.249147200025618,5,837959,directed_split,1664
case_091,2,shared_region,5254557,9186769,1.7483432000071557,105577492,1019.2489152550697,11,5336467,directed_split,31554
case_091,2,shared_resource,5336467,9186769,1.7215076941354646,107702036,383.3171608168632,7,6786518,grain_2.0,31554
case_091,3,shared_region,3711295,9186769,2.4753540206316123,105734164,479.86755351163447,11,3827115,directed_split,31554
case_091,3,shared_resource,3827115,9186769,2.4004423697746216,107702036,337.0957586672157,7,5203069,grain_2.0,31554
case_091,4,shared_region,2963609,9186769,3.0998586520691496,105778708,463.0447376575321,11,3074638,local_reschedule,31554
case_091,4,shared_resource,3074638,9186769,2.987918902973293,107702036,342.4309901949018,7,4495264,grain_2.0,31554
case_091,5,shared_region,2518651,9186769,3.647495822168296,105666580,451.4101440291852,11,2637061,directed_split,31554
case_091,5,shared_resource,2637061,9186769,3.4837150145559774,107702036,355.65146114490926,7,4157807,grain_2.0,31554
case_092,2,shared_region,2412929,4815554,1.9957296712833241,113053056,251.90962084569037,11,2546212,region_placement_0,17608
case_092,2,shared_resource,2515098,4815554,1.914658593820201,120935104,192.94739940948784,7,4202838,directed_split,17608
case_092,3,shared_region,2109464,4815554,2.2828329850616083,112651936,243.46646718867123,11,2237733,multilevel,17608
case_092,3,shared_resource,2237733,4815554,2.1519788106981483,120931008,188.1386226620525,7,4121510,grain_2.0,17608
case_092,4,shared_region,2037129,4815554,2.3638925173614433,113053056,251.29073707014322,11,2189721,region_placement_0,17608
case_092,4,shared_resource,2189292,4815554,2.199594206711576,120935104,186.99038748443127,7,4089388,directed_split,17608
case_092,5,shared_region,2005925,4815554,2.400665029849072,112651936,255.08446475304663,11,2132554,multilevel,17608
case_092,5,shared_resource,2132554,4815554,2.2581158554484433,120931008,201.8720429390669,7,4114032,grain_2.0,17608
case_093,2,shared_region,47307,74205,1.5685839304965439,1056768,2.0163755000103265,11,48342,region_boundary_78_0,552
case_093,2,shared_resource,48342,74205,1.535000620578379,1056768,1.9555676000891253,9,64992,grain_2.0,552
case_093,3,shared_region,34697,74205,2.1386575208231258,950272,2.0376417000079527,11,37828,directed_split,552
case_093,3,shared_resource,36180,74205,2.050995024875622,1091584,2.0037042999174446,8,56276,region_boundary_380_0,552
case_093,4,shared_region,31453,74205,2.359234413251518,1093632,2.193397199967876,11,34436,directed_split,552
case_093,4,shared_resource,31453,74205,2.359234413251518,1093632,0.8719764000270516,2,50881,directed_split,552
case_093,5,shared_region,30469,74205,2.4354261708621876,1062912,2.665934099932201,11,30477,directed_split,552
case_093,5,shared_resource,30469,74205,2.4354261708621876,1062912,1.8145764999790117,6,50988,directed_split,552
case_094,2,shared_region,50794,94892,1.8681734063078317,406216,1.3121083000442013,11,54573,directed_split,647
case_094,2,shared_resource,52831,94892,1.7961424163843198,695788,1.125005800044164,7,87990,grain_1.0,647
case_094,3,shared_region,40046,94892,2.3695749887629227,965920,1.7540720999240875,11,63947,local_reschedule,647
case_094,3,shared_resource,40046,94892,2.3695749887629227,965920,0.8988454999634996,2,89608,local_reschedule,647
case_094,4,shared_region,33641,94892,2.820724710918225,965920,1.922711299965158,11,51952,grain_0.5,647
case_094,4,shared_resource,33641,94892,2.820724710918225,965920,0.9479309000307694,2,85431,grain_0.5,647
case_094,5,shared_region,29372,94892,3.23069590085796,993568,1.5833382999990135,11,56611,directed_split,647
case_094,5,shared_resource,29372,94892,3.23069590085796,993568,1.0015833999495953,2,87356,directed_split,647
case_095,2,shared_region,1056807,2084853,1.9727850023703477,73728,11.466432399931364,11,1067403,local_reschedule,3696
case_095,2,shared_resource,1067403,2084853,1.9532013681805278,0,14.65465039992705,9,1995931,grain_2.0,3696
case_095,3,shared_region,710791,2084853,2.9331449047610336,73728,11.445727100013755,11,732718,local_reschedule,3696
case_095,3,shared_resource,732187,2084853,2.8474324182210284,0,13.40766479994636,9,1925285,region_placement_0,3696
case_095,4,shared_region,543023,2084853,3.839345663075045,0,11.16473970003426,11,560659,directed_split,3696
case_095,4,shared_resource,553687,2084853,3.765399946178978,0,14.3621329999296,9,1911143,grain_1.0,3696
case_095,5,shared_region,452071,2084853,4.6117822200495056,0,11.407958699972369,11,452071,greedy,3696
case_095,5,shared_resource,447114,2084853,4.662911472241978,73728,14.83133590000216,9,1912225,local_reschedule,3696
case_096,2,shared_region,46989,84194,1.7917810551405648,448020,2.519573799916543,11,48712,region_boundary_963_0,1198
case_096,2,shared_resource,47624,84194,1.7678901394254998,573742,2.413649099995382,7,80105,grain_1.0,1198
case_096,3,shared_region,35718,84194,2.357186852567333,612910,3.114686500048265,11,48780,directed_split,1198
case_096,3,shared_resource,36486,84194,2.3075700268596173,573742,1.5106718000024557,2,85807,grain_1.0,1198
case_096,4,shared_region,29883,84194,2.8174547401532646,1006726,3.149677100009285,11,48849,region_repartition_3_0,1198
case_096,4,shared_resource,29883,84194,2.8174547401532646,1006726,1.3887801999226213,2,93176,region_repartition_3_0,1198
case_096,5,shared_region,29146,84194,2.8886982776367254,1031306,3.238880000077188,11,47410,region_boundary_609_0,1198
case_096,5,shared_resource,29146,84194,2.8886982776367254,1031306,1.9359638000605628,4,102302,region_boundary_609_0,1198
case_097,2,shared_region,5247114,11491509,2.1900627659319007,85295104,32.563370699994266,11,5300905,region_boundary_5781_0,6592
case_097,2,shared_resource,5247114,11491509,2.1900627659319007,85295104,24.336170900030993,5,10374486,region_boundary_5781_0,6592
case_097,3,shared_region,3509566,11491509,3.2743390493297464,85327872,34.53092030005064,11,5300905,directed_split,6592
case_097,3,shared_resource,3509566,11491509,3.2743390493297464,85327872,11.81056039989926,2,10354309,directed_split,6592
case_097,4,shared_region,2705741,11491509,4.247083885708204,92076032,38.9538197000511,11,5300905,directed_split,6592
case_097,4,shared_resource,2714136,11491509,4.233947377729045,92045312,11.595075299963355,2,9898173,region_boundary_1665_0,6592
case_097,5,shared_region,2179047,11491509,5.273639806759561,92065792,41.29431780008599,11,5300905,directed_split,6592
case_097,5,shared_resource,2181856,11491509,5.266850332927563,92059648,12.092749199946411,2,9302662,local_reschedule,6592
case_098,2,shared_region,98402,177430,1.8031137578504501,1553184,3.3111808999674395,11,117094,local_reschedule,1365
case_098,2,shared_resource,98402,177430,1.8031137578504501,1553184,1.7485702000558376,2,203414,local_reschedule,1365
case_098,3,shared_region,79351,177430,2.236014669002281,1479456,3.376291900058277,11,117300,grain_1.0,1365
case_098,3,shared_resource,79351,177430,2.236014669002281,1479456,1.5647111000726,2,203158,grain_1.0,1365
case_098,4,shared_region,79805,177430,2.2232942798070296,1479456,2.9849413000047207,11,117575,grain_1.0,1365
case_098,4,shared_resource,79805,177430,2.2232942798070296,1479456,1.6649712999351323,2,204300,grain_1.0,1365
case_098,5,shared_region,73104,177430,2.4270901729043555,3282976,4.188156199990772,11,117849,directed_split,1365
case_098,5,shared_resource,75666,177430,2.3449105278460602,3250208,1.668633499997668,2,208078,grain_0.25,1365
case_099,2,shared_region,885056,1622999,1.8337811392725432,12708396,34.945894000004046,11,909661,directed_split,6296
case_099,2,shared_resource,909661,1622999,1.7841800406964792,14497836,26.16820969991386,7,1012662,grain_2.0,6296
case_099,3,shared_region,638770,1622999,2.5408190741581476,14522412,32.94111709995195,11,640936,region_boundary_6295_0,6296
case_099,3,shared_resource,640936,1622999,2.5322325473994285,14497836,26.32406439993065,7,748018,grain_2.0,6296
case_099,4,shared_region,506189,1622999,3.2063102912153365,14530604,35.018766200053506,11,507427,directed_split,6296
case_099,4,shared_resource,507427,1622999,3.1984876642354467,14497836,27.699691799934953,7,626492,grain_2.0,6296
case_099,5,shared_region,426988,1622999,3.8010412470608075,14497836,36.80767799995374,11,427726,region_placement_0,6296
case_099,5,shared_resource,427726,1622999,3.794482916633546,14497836,26.853358800057322,7,575297,grain_2.0,6296
case_100,2,shared_region,85465,151223,1.7694143801556192,1809678,2.948260899982415,11,92847,grain_1.0,1394
case_100,2,shared_resource,85465,151223,1.7694143801556192,1809678,1.6245961000677198,3,175479,grain_1.0,1394
case_100,3,shared_region,83808,151223,1.8043981481481481,1809678,2.9185629999265075,11,92846,grain_1.0,1394
case_100,3,shared_resource,83808,151223,1.8043981481481481,1809678,2.0391989999916404,5,176779,grain_1.0,1394
case_100,4,shared_region,75379,151223,2.0061688268615927,3321212,3.099256100016646,11,92995,directed_split,1394
case_100,4,shared_resource,76534,151223,1.9758930671335615,3288444,2.1794517000671476,5,173029,grain_0.25,1394
case_100,5,shared_region,75870,151223,1.9931857124027943,3321212,3.113295199931599,11,92995,directed_split,1394
case_100,5,shared_resource,76036,151223,1.98883423641433,3288444,2.221963800024241,5,179767,grain_0.25,1394
