case,cores,outcome,loss_type,legacy_base,routed_base,legacy_final,routed_final,base_gap,legacy_J_gain,routed_J_gain,final_gap,J_gain_difference,same_anchor,legacy_base_name,routed_base_name,legacy_base_slot,routed_base_slot,legacy_base_missing_from_routed,old_base_alone_beats_routed_final,ops,largest_fraction,legacy_final_bytes,routed_final_bytes,keep_old_chain_anchor_known,keep_old_chain_cycles,keep_old_chain_bytes,keep_old_chain_J_source,keep_old_depth_anchor_known,keep_old_depth_cycles,keep_old_depth_bytes,keep_old_depth_J_source
13,5,tie,not_loss,54363,54363,54363,54363,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3202,0.0040650406504065045,32768,32768,True,54363,32768,legacy,True,54363,32768,legacy
14,2,tie,not_loss,8909568,8909568,8909568,8909568,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,38666,0.0034729029547682397,69998520,69998520,True,8909568,69998520,legacy,True,8909568,69998520,legacy
14,3,tie,not_loss,5974992,5974992,5951263,5951263,0,23729,23729,0,0,True,components_reuse,components_reuse,4,4,False,False,38666,0.0034729029547682397,56526504,56526504,True,5951263,56526504,legacy,True,5951263,56526504,legacy
14,4,tie,not_loss,4526637,4526637,4526637,4526637,0,0,0,0,0,True,components_reuse,components_reuse,4,4,False,False,38666,0.0034729029547682397,59878296,59878296,True,4526637,59878296,legacy,True,4526637,59878296,legacy
14,5,tie,not_loss,3675825,3675825,3663108,3663108,0,12717,12717,0,0,True,components_reuse,components_reuse,4,4,False,False,38666,0.0034729029547682397,62443416,62443416,True,3663108,62443416,legacy,True,3663108,62443416,legacy
15,2,tie,not_loss,87493,87493,87493,87493,0,0,0,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1290,0.14313919052319843,109824,109824,True,87493,109824,legacy,True,87493,109824,legacy
15,3,tie,not_loss,61018,61018,61018,61018,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1290,0.14313919052319843,298252,298252,True,61018,298252,legacy,True,61018,298252,legacy
15,4,tie,not_loss,48866,48866,48866,48866,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1290,0.14313919052319843,365824,365824,True,48866,365824,legacy,True,48866,365824,legacy
15,5,tie,not_loss,42569,42569,42569,42569,0,0,0,0,0,True,components_pipe,components_pipe,3,3,False,False,1290,0.14313919052319843,326144,326144,True,42569,326144,legacy,True,42569,326144,legacy
16,2,win,not_loss,4173199,4027025,4173199,4027025,-146174,0,0,-146174,0,False,chains,chains_reference_gate,7,7,True,False,18008,1.0,10976,404200,True,4173199,10976,legacy,True,4027025,404200,routed
16,3,win,not_loss,2965268,2877849,2965268,2877849,-87419,0,0,-87419,0,False,chains,chains_reference_gate,7,7,True,False,18008,1.0,15244,341100,True,2965268,15244,legacy,True,2877849,341100,routed
16,4,win,not_loss,2402049,2244367,2402049,2244367,-157682,0,0,-157682,0,False,chains,chains_reference_gate,7,7,True,False,18008,1.0,17056,605676,True,2402049,17056,legacy,True,2244367,605676,routed
16,5,win,not_loss,2239322,2088965,2239322,2088965,-150357,0,0,-150357,0,False,chains,chains_reference_gate,7,7,True,False,18008,1.0,869268,444880,True,2239322,869268,legacy,True,2088965,444880,routed
17,2,tie,not_loss,77533,77533,76658,76658,0,875,875,0,0,True,hybrid_work_1,hybrid_work_1,5,5,False,False,1758,0.11798980335032774,87552,87552,True,76658,87552,legacy,True,76658,87552,legacy
17,3,tie,not_loss,52121,52121,49850,49850,0,2271,2271,0,0,True,components_reuse,components_reuse,4,4,False,False,1758,0.11798980335032774,175104,175104,True,49850,175104,legacy,True,49850,175104,legacy
17,4,tie,not_loss,39668,39668,39668,39668,0,0,0,0,0,True,components_reuse,components_reuse,4,4,False,False,1758,0.11798980335032774,259200,259200,True,39668,259200,legacy,True,39668,259200,legacy
17,5,tie,not_loss,33081,33081,33081,33081,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1758,0.11798980335032774,331776,331776,True,33081,331776,legacy,True,33081,331776,legacy
18,2,tie,not_loss,502491,502491,502491,502491,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3285,0.021635496883021636,2638848,2638848,True,502491,2638848,legacy,True,502491,2638848,legacy
18,3,tie,not_loss,337417,337417,337417,337417,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3285,0.021635496883021636,3971072,3971072,True,337417,3971072,legacy,True,337417,3971072,legacy
18,4,tie,not_loss,253676,253676,253676,253676,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,3285,0.021635496883021636,4938752,4938752,True,253676,4938752,legacy,True,253676,4938752,legacy
18,5,tie,not_loss,205917,205917,205917,205917,0,0,0,0,0,True,components_pipe,components_pipe,3,3,False,False,3285,0.021635496883021636,5320704,5320704,True,205917,5320704,legacy,True,205917,5320704,legacy
19,2,tie,not_loss,39030,39030,38506,38506,0,524,524,0,0,True,chains,chains,6,6,False,False,766,0.26275115919629055,354360,354360,True,38506,354360,legacy,True,38506,354360,legacy
19,3,tie,not_loss,27716,27716,27716,27716,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,766,0.26275115919629055,54336,54336,True,27716,54336,legacy,True,27716,54336,legacy
19,4,tie,not_loss,22276,22276,22276,22276,0,0,0,0,0,True,chains,chains,7,7,False,False,766,0.26275115919629055,762456,762456,True,22276,762456,legacy,True,22276,762456,legacy
19,5,tie,not_loss,18267,18267,18267,18267,0,0,0,0,0,True,depth8,depth8,8,8,False,False,766,0.26275115919629055,255068,255068,True,18267,255068,legacy,True,18267,255068,legacy
20,2,tie,not_loss,266580,266580,266580,266580,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,7584,0.003995433789954338,0,0,True,266580,0,legacy,True,266580,0,legacy
20,3,tie,not_loss,177950,177950,177950,177950,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,7584,0.003995433789954338,0,0,True,177950,0,legacy,True,177950,0,legacy
20,4,tie,not_loss,133704,133704,133704,133704,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,7584,0.003995433789954338,0,0,True,133704,0,legacy,True,133704,0,legacy
20,5,tie,not_loss,107650,107650,107650,107650,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,7584,0.003995433789954338,0,0,True,107650,0,legacy,True,107650,0,legacy
21,2,tie,not_loss,3174339,3174339,3174339,3174339,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,4450,0.0125,33017856,33017856,True,3174339,33017856,legacy,True,3174339,33017856,legacy
21,3,tie,not_loss,2092372,2092372,2090922,2090922,0,1450,1450,0,0,True,migration_B,migration_B,1,1,False,False,4450,0.0125,34854912,34854912,True,2090922,34854912,legacy,True,2090922,34854912,legacy
21,4,tie,not_loss,1550324,1550324,1550324,1550324,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,4450,0.0125,4608000,4608000,True,1550324,4608000,legacy,True,1550324,4608000,legacy
21,5,tie,not_loss,1250168,1250168,1250168,1250168,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,4450,0.0125,11431936,11431936,True,1250168,11431936,legacy,True,1250168,11431936,legacy
22,2,tie,not_loss,27977,27977,27860,27860,0,117,117,0,0,True,depth8,depth8,7,7,False,False,1567,0.13495575221238937,145236,145236,True,27860,145236,legacy,True,27860,145236,legacy
22,3,tie,not_loss,18978,18978,18978,18978,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1567,0.13495575221238937,13824,13824,True,18978,13824,legacy,True,18978,13824,legacy
22,4,tie,not_loss,14336,14336,14336,14336,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1567,0.13495575221238937,20736,20736,True,14336,20736,legacy,True,14336,20736,legacy
22,5,tie,not_loss,11479,11479,11479,11479,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1567,0.13495575221238937,20736,20736,True,11479,20736,legacy,True,11479,20736,legacy
23,2,tie,not_loss,60965,60965,60965,60965,0,0,0,0,0,True,components_reuse,components_reuse,4,4,False,False,1202,0.12561819980217606,74016,74016,True,60965,74016,legacy,True,60965,74016,legacy
23,3,tie,not_loss,40682,40682,40682,40682,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1202,0.12561819980217606,207264,207264,True,40682,207264,legacy,True,40682,207264,legacy
23,4,tie,not_loss,30516,30516,30516,30516,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1202,0.12561819980217606,281280,281280,True,30516,281280,legacy,True,30516,281280,legacy
23,5,tie,not_loss,24940,24940,24940,24940,0,0,0,0,0,True,migration_B,migration_B,1,1,False,False,1202,0.12561819980217606,280992,280992,True,24940,280992,legacy,True,24940,280992,legacy
