case,cores,makespan,added_copy_bytes,speedup,search_seconds,role
28,5,8286707,73953792,5.2899227642536415,293.0034486874938,r07_reserve_fast
29,1,37555,0,1.0,0.0,prescribed_single_reference
29,2,18880,16388,1.9891419491525424,1.4039294999092817,r07_reserve_fast
29,3,12743,0,2.9471082162756024,1.1951700281351805,r07_reserve_fast
29,4,10168,49164,3.693450039339103,1.7161364536732435,r07_reserve_fast
29,5,8787,65552,4.273927392739274,1.8438056986778975,r07_reserve_fast
30,1,2808034,5519360,1.0,0.0,prescribed_single_reference
30,2,1390496,1292288,2.019447736634985,80.3755097296089,r07_reserve_fast
30,3,933720,8985600,3.0073619500492654,80.73750096559525,r07_reserve_fast
30,4,697351,6002688,4.026715384361677,83.89088654890656,r07_reserve_fast
30,5,559882,7484416,5.015403245683912,66.94523109123111,r07_reserve_fast
31,1,1414369,3491328,1.0,0.0,prescribed_single_reference
31,2,712262,5250048,1.985742605951181,17.912152983248234,r07_reserve_fast
31,3,473822,7544832,2.985021801435982,17.76642007753253,r07_reserve_fast
31,4,360134,7808000,3.9273409342078227,19.180850641801953,r07_reserve_fast
31,5,284848,7931904,4.965346430376902,17.833797428756952,r07_reserve_fast
32,1,41443,0,1.0,0.0,prescribed_single_reference
32,2,17566,6216,2.3592735967209384,1.3897947240620852,r07_reserve_fast
32,3,11910,12360,3.47968094038623,2.080345055088401,r07_reserve_fast
32,4,10728,74980,3.86306860551827,2.7200296204537153,r07_reserve_fast
32,5,10414,12360,3.9795467639715767,2.115360429510474,r07_reserve_fast
33,1,1774196,4592640,1.0,0.0,prescribed_single_reference
33,2,889132,6452256,1.995424751330511,9.87807422503829,r07_reserve_fast
33,3,596821,7053888,2.9727439215443154,9.168636361137033,r07_reserve_fast
33,4,443447,7214688,4.000920064855552,9.340416062623262,r07_reserve_fast
33,5,361176,7894656,4.912275455733493,10.339994559064507,r07_reserve_fast
34,1,842996,1079832,1.0,0.0,prescribed_single_reference
34,2,415251,943616,2.0300878263989732,10.806972479447722,r07_reserve_fast
34,3,270947,2288640,3.1112948288779725,12.35371708124876,r07_reserve_fast
34,4,206454,3059200,4.083214662830461,13.561416298151016,r07_reserve_fast
34,5,167389,3463168,5.036149328808942,16.86370963230729,r07_reserve_fast
35,1,169571,0,1.0,0.0,prescribed_single_reference
35,2,93692,801138,1.8098770439311787,9.745196456089616,r07_reserve_fast
35,3,75717,1276568,2.2395366958542997,11.773554248735309,r07_reserve_fast
35,4,63767,1505978,2.6592281274013203,12.462790621444583,r07_reserve_fast
35,5,58308,1058710,2.9081944158606023,13.164872579276562,r07_reserve_fast
36,1,931510,0,1.0,0.0,prescribed_single_reference
36,2,466068,1152,1.998656848356892,4.613513492047787,r07_reserve_fast
36,3,311345,2304,2.991890025534375,6.353072697296739,r07_reserve_fast
36,4,233584,3456,3.987901568600589,5.441570548340678,r07_reserve_fast
36,5,187182,4608,4.976493466252097,4.606528777629137,r07_reserve_fast
37,1,210001,0,1.0,0.0,prescribed_single_reference
37,2,105374,204800,1.992910964754114,1.0280357841402292,r07_reserve_fast
37,3,74038,573440,2.836394824279424,1.3921851720660925,r07_reserve_fast
37,4,53320,614400,3.938503375843961,1.0438692457973957,r07_reserve_fast
37,5,43013,942080,4.882268151489085,1.6657504886388779,r07_reserve_fast
38,1,1364555,5627904,1.0,0.0,prescribed_single_reference
38,2,674500,6790656,2.0230615270570795,18.63954327069223,r07_reserve_fast
38,3,449590,8107008,3.035109766676305,23.732132580131292,r07_reserve_fast
38,4,338182,8954880,4.034972293025649,20.884422726929188,r07_reserve_fast
38,5,275278,9592320,4.957007098278831,29.92423384822905,r07_reserve_fast
39,1,1435262,7929856,1.0,0.0,prescribed_single_reference
39,2,708430,9166848,2.025975749191875,19.44354172050953,r07_reserve_fast
39,3,478013,11911168,3.002558507823009,23.556868094950914,r07_reserve_fast
39,4,368961,14536704,3.8900100552632932,18.896321261301637,r07_reserve_fast
39,5,338925,14536704,4.23474810061223,19.361292047426105,r07_reserve_fast
40,1,253454,0,1.0,0.0,prescribed_single_reference
40,2,134642,1227916,1.882428959759956,8.140431182458997,r07_reserve_fast
40,3,105492,1985768,2.402589769840367,11.987743308767676,r07_reserve_fast
40,4,89539,1836692,2.8306547984677066,9.287508610635996,r07_reserve_fast
40,5,78938,1915296,3.2107983480706377,9.721396204084158,r07_reserve_fast
41,1,6003957,30898176,1.0,0.0,prescribed_single_reference
41,2,2990398,33669120,2.0077451228899967,171.85781003162265,r07_reserve_fast
41,3,1991911,34851840,3.0141693077652567,187.7875020969659,r07_reserve_fast
41,4,1490603,39164928,4.027871270888358,170.30987228639424,r07_reserve_fast
41,5,1196379,40630272,5.018440644645217,188.15381931327283,r07_reserve_fast
42,1,1686740,6629376,1.0,0.0,prescribed_single_reference
42,2,840111,7262496,2.007758498579354,13.217795379459858,r07_reserve_fast
42,3,570685,8474176,2.9556410278875385,19.12471440806985,r07_reserve_fast
42,4,430510,8605536,3.918004227544076,20.85206768475473,r07_reserve_fast
42,5,350713,9936736,4.809459586613555,17.277223965153098,r07_reserve_fast
43,1,677656,49160,1.0,0.0,prescribed_single_reference
43,2,349881,3210754,1.9368185182962208,75.8350939322263,r07_reserve_fast
43,3,250900,4852554,2.700900757273814,68.555798150599,r07_reserve_fast
43,4,207895,5894554,3.2596070131556796,46.50757412612438,r07_reserve_fast
43,5,199041,6609206,3.404605081365146,53.094647251069546,r07_reserve_fast
44,1,154407,4438112,1.0,0.0,prescribed_single_reference
44,2,54510,886880,2.8326362135388004,2.9723216481506824,r07_reserve_fast
44,3,44484,891584,3.47106824925816,2.9898486342281103,r07_reserve_fast
44,4,49989,1389344,3.0888195402988656,3.1527851223945618,r07_reserve_fast
44,5,43028,655488,3.588523751975458,3.6727581806480885,r07_reserve_fast
45,1,125614,0,1.0,0.0,prescribed_single_reference
45,2,63059,0,1.99200748505368,2.0216968040913343,r07_reserve_fast
45,3,42601,0,2.94861622966597,2.006628569215536,r07_reserve_fast
45,4,31878,0,3.940460505677897,1.9348593726754189,r07_reserve_fast
45,5,26164,0,4.801024308209754,1.9875998795032501,r07_reserve_fast
46,1,276455,3176288,1.0,0.0,prescribed_single_reference
46,2,112410,942688,2.4593452539809624,1.7061156202107668,r07_reserve_fast
46,3,96500,2958528,2.864818652849741,2.199389426037669,r07_reserve_fast
46,4,71871,2098976,3.8465445033462733,2.2518298402428627,r07_reserve_fast
46,5,77698,2660736,3.558070992818348,3.103151235729456,r07_reserve_fast
47,1,326508,0,1.0,0.0,prescribed_single_reference
47,2,197413,1264006,1.6539336315237598,148.41842889599502,r07_reserve_fast
47,3,156690,1857324,2.0837832663220373,160.56219239346683,r07_reserve_fast
47,4,143256,2256146,2.279192494555202,168.56506354361773,r07_reserve_fast
47,5,135565,2575320,2.4084977685980893,99.80306493490934,r07_reserve_fast
48,1,222220,0,1.0,0.0,prescribed_single_reference
48,2,150049,467846,1.4809828789262174,4.204005127772689,r07_reserve_fast
48,3,114626,1177612,1.9386526616997888,11.781740931794047,r07_reserve_fast
48,4,114384,1270930,1.9427542313610295,7.734792938455939,r07_reserve_fast
48,5,101641,1273560,2.1863224486181756,10.058911575004458,r07_reserve_fast
49,1,196276,0,1.0,0.0,prescribed_single_reference
49,2,126174,1027062,1.5555978252254823,12.780973318964243,r07_reserve_fast
49,3,83711,2408560,2.344685883575635,17.394454652443528,r07_reserve_fast
49,4,75814,2607184,2.5889149761257815,20.19832193106413,r07_reserve_fast
49,5,76846,2907980,2.554147255550061,21.087429605424404,r07_reserve_fast
50,1,149690,0,1.0,0.0,prescribed_single_reference
50,2,87435,1022694,1.712014639446446,18.27475124783814,r07_reserve_fast
50,3,60421,1831624,2.477449893249036,18.05866010673344,r07_reserve_fast
50,4,57912,2053712,2.584783809918497,23.18966218456626,r07_reserve_fast
50,5,57017,1337182,2.625357349562411,19.212145920842886,r07_reserve_fast
51,1,607628,0,1.0,0.0,prescribed_single_reference
51,2,319230,394084,1.903417598596623,2.993237789720297,r07_reserve_fast
51,3,228581,328736,2.658261185312865,3.9497759081423283,r07_reserve_fast
51,4,183794,591064,3.306027400241575,4.610649559646845,r07_reserve_fast
51,5,170016,427456,3.5739459815546772,5.360598903149366,r07_reserve_fast
52,1,180301,0,1.0,0.0,prescribed_single_reference
52,2,90903,102912,1.9834438907406797,1.6844215914607048,r07_reserve_fast
52,3,60160,181248,2.99702460106383,1.7718473579734564,r07_reserve_fast
52,4,45777,254976,3.9386809970072307,1.8097322043031454,r07_reserve_fast
52,5,37846,333312,4.76407017914707,1.9270708803087473,r07_reserve_fast
53,1,1472686,5405536,1.0,0.0,prescribed_single_reference
53,2,723016,4631434,2.036865020967724,102.26800328120589,r07_reserve_fast
53,3,495435,6090084,2.972511025664315,117.45373841933906,r07_reserve_fast
53,4,394500,8679750,3.733044359949303,95.55691774003208,r07_reserve_fast
53,5,357068,9823040,4.124385271152834,66.7702692952007,r07_reserve_fast
