case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,base_makespan,candidate_seconds
15,4,fast,48866,365824,177362,3.6295583841525807,12,11,1,1.7040519081056118,0.13282844796776772,48866,0.07944746688008308
15,5,fast,42569,326144,177362,4.166459160421903,12,11,1,1.7884392458945513,0.13817988522350788,42569,0.08848639577627182
16,2,fast,4027025,404200,7715523,1.9159362060081573,12,11,1,246.3744504712522,15.640082024037838,4027025,10.238872211426497
16,3,fast,2877849,341100,7715523,2.6810034160930614,12,11,1,284.46952315978706,15.498075321316719,2877849,11.891602640971541
16,4,fast,2244367,605676,7715523,3.4377278760559213,12,11,1,203.87033507227898,7.471565583720803,2244367,12.387414826080203
16,5,fast,2088965,444880,7715523,3.6934668603830128,12,11,1,165.52438297867775,11.102295156568289,2088965,5.467227570712566
17,2,fast,76658,87552,162810,2.1238487829058936,12,11,1,2.5229068864136934,0.16194361820816994,77533,0.10262229479849339
17,3,fast,49850,175104,162810,3.2659979939819457,12,11,1,2.850412441417575,0.17773201130330563,52121,0.09300440922379494
17,4,fast,39668,259200,162810,4.104315821316931,12,11,1,3.057128045707941,0.1724869403988123,39668,0.10789780877530575
17,5,fast,33081,331776,162810,4.921556180284756,12,11,1,2.3849296402186155,0.17336748726665974,33081,0.10838823951780796
18,2,fast,502491,2638848,1004367,1.998776097482343,12,11,1,5.645900044590235,0.42523024789988995,502491,0.27887080796062946
18,3,fast,337417,3971072,1004367,2.9766342537572203,12,11,1,6.1055647525936365,0.4535468276590109,337417,0.3072650097310543
18,4,fast,253676,4938752,1004367,3.9592511707847806,12,11,1,9.76751614920795,0.8169487901031971,253676,0.339189812541008
18,5,fast,205917,5320704,1004367,4.8775331808447095,12,11,1,6.679100923240185,0.5047701112926006,205917,0.4151661843061447
19,2,fast,38506,354360,81144,2.1073079520074796,12,11,1,1.2840551417320967,0.07982425205409527,39030,0.03584757633507252
19,3,fast,27716,54336,81144,2.9276951941117044,12,11,1,0.8199697993695736,0.05634477734565735,27716,0.0393858477473259
19,4,fast,22276,762456,81144,3.6426647513018495,12,12,0,1.6492437403649092,0.08891867659986019,22276,0.04726194404065609
19,5,fast,18267,255068,81144,4.442108720643784,12,12,0,1.4185063354671001,0.06588580086827278,18267,0.045439934358000755
20,2,fast,266580,0,532746,1.9984469952734638,12,10,2,13.738475102931261,1.0101162791252136,266580,0.62164724804461
20,3,fast,177950,0,532746,2.993796010115201,12,10,2,15.620092142373323,1.6971805728971958,177950,0.7219831161201
20,4,fast,133704,0,532746,3.984518039849219,12,10,2,14.116704659536481,1.0204967577010393,133704,0.7613829746842384
20,5,fast,107650,0,532746,4.948871342313051,12,10,2,16.317054368555546,1.6011291481554508,107650,0.9014460071921349
21,2,fast,3174339,33017856,6567937,2.0690723328541782,12,10,2,13.196155359968543,1.1892942059785128,3174339,0.4415032844990492
21,3,fast,2090922,34854912,6567937,3.141167867572296,12,10,2,14.968159161508083,1.1663936767727137,2092372,0.5917784627526999
21,4,fast,1550324,4608000,6567937,4.236493145948847,12,9,3,9.505147486925125,0.7419415079057217,1550324,0.6581669300794601
21,5,fast,1250168,11431936,6567937,5.253643510312214,12,10,2,13.501788618043065,1.0270260479301214,1250168,0.71544717438519
22,2,fast,27860,145236,56780,2.0380473797559224,12,10,2,2.2070497814565897,0.1559615321457386,27977,0.07658321224153042
22,3,fast,18978,13824,56780,2.9918853409210664,12,11,1,2.717607907950878,0.1461282465606928,18978,0.15089789405465126
22,4,fast,14336,20736,56780,3.960658482142857,12,11,1,2.087131228297949,0.14737961441278458,14336,0.09665422886610031
22,5,fast,11479,20736,56780,4.9464239045213,12,11,1,2.1601724568754435,0.1395801492035389,11479,0.10445280000567436
23,2,fast,60965,74016,122614,2.0112195522020833,12,11,1,1.8376188855618238,0.12492924556136131,60965,0.06658278033137321
23,3,fast,40682,207264,122614,3.0139619487734133,12,11,1,1.554780576378107,0.11694546602666378,40682,0.07463914714753628
23,4,fast,30516,281280,122614,4.018023332022546,12,11,1,1.6611305065453053,0.11630298756062984,30516,0.0781235322356224
23,5,fast,24940,280992,122614,4.91635926222935,12,10,2,1.5382954645901918,0.12146836146712303,24940,0.08274021930992603
24,2,fast,1335245,396856,2555343,1.9137633917370969,12,11,1,20.908227426931262,1.383486058562994,1335245,0.869911503046751
24,3,fast,954537,332124,2555343,2.677049711011726,12,11,1,29.17203037440777,1.4603245835751295,954537,1.5977448616176844
24,4,fast,748435,595068,2555343,3.4142483983245038,12,11,1,31.549285931512713,1.527767539024353,748435,1.0391204115003347
24,5,fast,695849,432232,2555343,3.672266540585673,12,11,1,38.531095165759325,1.481446409597993,695849,1.1116760037839413
25,2,fast,2431840,27648,4863026,1.9997310678334101,12,8,4,218.33382674120367,16.207494113594294,2431840,68.97498339042068
25,3,fast,1622164,55296,4863026,2.9978633479722148,12,8,4,231.8624963015318,7.768713748082519,1622164,87.89849656447768
25,4,fast,1217444,82944,4863026,3.9944555971362954,12,8,4,268.1772393528372,15.997616780921817,1217444,117.61111153662205
25,5,fast,975282,110592,4863026,4.986276789687495,12,8,4,294.2605238966644,14.256008613854647,975282,143.1970054320991
26,2,fast,51429,21936,99203,1.9289311477959905,12,11,1,0.8392033521085978,0.06977969408035278,51429,0.035191746428608894
26,3,fast,41688,95664,99203,2.379653617347918,12,12,0,0.9442740511149168,0.06273248232901096,41688,0.04461694322526455
26,4,fast,42226,172128,99203,2.3493345332259743,12,12,0,0.9853875320404768,0.06911873631179333,42226,0.05488579906523228
26,5,fast,38198,835212,99203,2.5970731451908478,12,12,0,2.2152990959584713,0.09704048186540604,38842,0.05347609147429466
27,2,fast,1120962,1744896,2363952,2.10886006840553,12,11,1,3.17224083468318,0.2298464998602867,1120962,0.14410961791872978
27,3,fast,744579,18481152,2363952,3.174884062000137,12,11,1,5.938524255529046,0.6726008169353008,744579,0.16326884925365448
27,4,fast,559196,3317760,2363952,4.227412213249022,12,9,3,4.8833275232464075,0.4214662928134203,559196,0.3384363278746605
27,5,fast,499622,21954560,2363952,4.731480999635725,12,10,2,16.057671094313264,0.5119599215686321,502641,0.38203257508575916
28,2,fast,20517451,75738432,43836040,2.136524658935459,12,10,2,305.5074355006218,25.225064991042018,20517451,6.239519599825144
28,3,fast,13687852,44350128,43836040,3.202550699700727,12,10,2,330.3071391917765,18.812403369694948,13777051,11.281238483265042
28,4,fast,10347838,74883456,43836040,4.23625108935799,12,10,2,299.4523912630975,23.227819534018636,10347838,14.79093188047409
28,5,fast,8286707,73953792,43836040,5.2899227642536415,12,10,2,293.0034486874938,17.476026967167854,8379068,14.6085782404989
29,2,fast,18880,16388,37555,1.9891419491525424,12,9,3,1.4039294999092817,0.10877685062587261,18880,0.05675201863050461
29,3,fast,12743,0,37555,2.9471082162756024,12,9,3,1.1951700281351805,0.10679217427968979,12743,0.05854085087776184
29,4,fast,10168,49164,37555,3.693450039339103,12,9,3,1.7161364536732435,0.10434198006987572,10168,0.06599193252623081
29,5,fast,8787,65552,37555,4.273927392739274,12,9,3,1.8438056986778975,0.1000636201351881,8787,0.07668989151716232
30,2,fast,1390496,1292288,2808034,2.019447736634985,12,11,1,80.3755097296089,3.8855957873165607,1391843,3.848573423922062
30,3,fast,933720,8985600,2808034,3.0073619500492654,12,11,1,80.73750096559525,6.083610810339451,933720,3.493357999250293
30,4,fast,697351,6002688,2808034,4.026715384361677,12,10,2,83.89088654890656,4.274092031642795,697351,6.349360508844256
30,5,fast,559882,7484416,2808034,5.015403245683912,12,11,1,66.94523109123111,3.7822528071701527,559882,5.037177726626396
31,2,fast,712262,5250048,1414369,1.985742605951181,12,11,1,17.912152983248234,1.3365200087428093,712262,0.6737659107893705
31,3,fast,473822,7544832,1414369,2.985021801435982,12,11,1,17.76642007753253,1.3937721326947212,473822,0.8840731121599674
31,4,fast,360134,7808000,1414369,3.9273409342078227,12,11,1,19.180850641801953,1.379654061049223,360134,1.0125255025923252
31,5,fast,284848,7931904,1414369,4.965346430376902,12,11,1,17.833797428756952,1.3867375515401363,284848,1.0867548938840628
32,2,fast,17566,6216,41443,2.3592735967209384,12,11,1,1.3897947240620852,0.1604649368673563,17571,0.05123149789869785
32,3,fast,11910,12360,41443,3.47968094038623,12,11,1,2.080345055088401,0.09285956062376499,11910,0.10578409396111965
32,4,fast,10728,74980,41443,3.86306860551827,12,11,1,2.7200296204537153,0.18463470600545406,10756,0.0626271590590477
32,5,fast,10414,12360,41443,3.9795467639715767,12,12,0,2.115360429510474,0.08285334892570972,10414,0.13457326591014862
33,2,fast,889132,6452256,1774196,1.995424751330511,12,11,1,9.87807422503829,0.7347248382866383,889132,0.3538714572787285
33,3,fast,596821,7053888,1774196,2.9727439215443154,12,11,1,9.168636361137033,0.9747668169438839,596821,0.40519093722105026
33,4,fast,443447,7214688,1774196,4.000920064855552,12,11,1,9.340416062623262,0.6953725405037403,443447,0.4668806027621031
33,5,fast,361176,7894656,1774196,4.912275455733493,12,11,1,10.339994559064507,0.7593403905630112,361176,0.524175375699997
34,2,fast,415251,943616,842996,2.0300878263989732,12,11,1,10.806972479447722,0.6234177779406309,415251,0.352167883887887
34,3,fast,270947,2288640,842996,3.1112948288779725,12,11,1,12.35371708124876,0.8326624594628811,276862,0.4433389864861965
34,4,fast,206454,3059200,842996,4.083214662830461,12,11,1,13.561416298151016,0.846550827845931,208285,0.5255500376224518
34,5,fast,167389,3463168,842996,5.036149328808942,12,11,1,16.86370963230729,1.334696151316166,169854,0.5522247552871704
35,2,fast,93692,801138,169571,1.8098770439311787,12,11,1,9.745196456089616,0.7821963783353567,93692,0.5520176403224468
35,3,fast,75717,1276568,169571,2.2395366958542997,12,12,0,11.773554248735309,0.7885281927883625,75717,0.6300820130854845
35,4,fast,63767,1505978,169571,2.6592281274013203,12,12,0,12.462790621444583,0.7537134736776352,63767,0.6703603696078062
35,5,fast,58308,1058710,169571,2.9081944158606023,12,12,0,13.164872579276562,0.7246983051300049,58555,0.6956227514892817
36,2,fast,466068,1152,931510,1.998656848356892,12,7,5,4.613513492047787,0.511607239022851,466068,0.5690845176577568
36,3,fast,311345,2304,931510,2.991890025534375,12,7,5,6.353072697296739,0.7909663897007704,311345,0.7426010239869356
36,4,fast,233584,3456,931510,3.987901568600589,12,7,5,5.441570548340678,0.45869893580675125,233584,0.8796217013150454
36,5,fast,187182,4608,931510,4.976493466252097,12,7,5,4.606528777629137,0.4506123401224613,187182,0.9560783877968788
