case,cores,r05,r07,ratio,r05_bytes,r07_bytes,outcome
17,4,39668,39668,1.0,259200,259200,tie
17,5,33081,33081,1.0,331776,331776,tie
18,2,502491,502491,1.0,2638848,2638848,tie
18,3,337417,337417,1.0,3971072,3971072,tie
18,4,253676,253676,1.0,4938752,4938752,tie
18,5,205917,205917,1.0,5320704,5320704,tie
19,2,38506,38506,1.0,354360,354360,tie
19,3,27716,27716,1.0,54336,54336,tie
19,4,22276,22276,1.0,762456,762456,tie
19,5,18267,18267,1.0,255068,255068,tie
20,2,266580,266580,1.0,0,0,tie
20,3,177950,177950,1.0,0,0,tie
20,4,133704,133704,1.0,0,0,tie
20,5,107650,107650,1.0,0,0,tie
21,2,3174339,3174339,1.0,33017856,33017856,tie
21,3,2090922,2090922,1.0,34854912,34854912,tie
21,4,1550324,1550324,1.0,4608000,4608000,tie
21,5,1250168,1250168,1.0,11431936,11431936,tie
22,2,27860,27860,1.0,145236,145236,tie
22,3,18978,18978,1.0,13824,13824,tie
22,4,14336,14336,1.0,20736,20736,tie
22,5,11479,11479,1.0,20736,20736,tie
23,2,60965,60965,1.0,74016,74016,tie
23,3,40682,40682,1.0,207264,207264,tie
23,4,30516,30516,1.0,281280,281280,tie
23,5,24940,24940,1.0,280992,280992,tie
24,2,1335245,1335245,1.0,396856,396856,tie
24,3,954537,954537,1.0,332124,332124,tie
24,4,748435,748435,1.0,595068,595068,tie
24,5,695849,695849,1.0,432232,432232,tie
25,2,2431840,2431840,1.0,27648,27648,tie
25,3,1622164,1622164,1.0,55296,55296,tie
25,4,1217444,1217444,1.0,82944,82944,tie
25,5,975282,975282,1.0,110592,110592,tie
26,2,51429,51429,1.0,21936,21936,tie
26,3,41688,41688,1.0,95664,95664,tie
26,4,42226,42226,1.0,172128,172128,tie
26,5,38198,38198,1.0,835212,835212,tie
27,2,1120962,1120962,1.0,1744896,1744896,tie
27,3,744579,744579,1.0,18481152,18481152,tie
27,4,559196,559196,1.0,3317760,3317760,tie
27,5,499622,499622,1.0,21954560,21954560,tie
28,2,20517451,20517451,1.0,75738432,75738432,tie
28,3,13687852,13687852,1.0,44350128,44350128,tie
28,4,10347838,10347838,1.0,74883456,74883456,tie
28,5,8286707,8286707,1.0,73953792,73953792,tie
29,2,18880,18880,1.0,16388,16388,tie
29,3,12743,12743,1.0,0,0,tie
29,4,10168,10168,1.0,49164,49164,tie
29,5,8787,8787,1.0,65552,65552,tie
30,2,1390496,1390496,1.0,1292288,1292288,tie
30,3,933720,933720,1.0,8985600,8985600,tie
30,4,697351,697351,1.0,6002688,6002688,tie
30,5,559882,559882,1.0,7484416,7484416,tie
31,2,712262,712262,1.0,5250048,5250048,tie
31,3,473822,473822,1.0,7544832,7544832,tie
31,4,360134,360134,1.0,7808000,7808000,tie
31,5,284848,284848,1.0,7931904,7931904,tie
32,2,17566,17566,1.0,6216,6216,tie
32,3,11910,11910,1.0,12360,12360,tie
32,4,10728,10728,1.0,74980,74980,tie
32,5,10414,10414,1.0,12360,12360,tie
33,2,889132,889132,1.0,6452256,6452256,tie
33,3,596821,596821,1.0,7053888,7053888,tie
33,4,443447,443447,1.0,7214688,7214688,tie
33,5,361176,361176,1.0,7894656,7894656,tie
34,2,415251,415251,1.0,943616,943616,tie
34,3,270947,270947,1.0,2288640,2288640,tie
34,4,206454,206454,1.0,3059200,3059200,tie
34,5,167389,167389,1.0,3463168,3463168,tie
35,2,93692,93692,1.0,801138,801138,tie
35,3,75717,75717,1.0,1276568,1276568,tie
35,4,63767,63767,1.0,1505978,1505978,tie
35,5,58308,58308,1.0,1058710,1058710,tie
36,2,466068,466068,1.0,1152,1152,tie
36,3,311345,311345,1.0,2304,2304,tie
36,4,233584,233584,1.0,3456,3456,tie
36,5,187182,187182,1.0,4608,4608,tie
37,2,105374,105374,1.0,204800,204800,tie
37,3,74038,74038,1.0,573440,573440,tie
37,4,53320,53320,1.0,614400,614400,tie
37,5,43013,43013,1.0,942080,942080,tie
38,2,674500,674500,1.0,6790656,6790656,tie
38,3,449590,449590,1.0,8107008,8107008,tie
38,4,338182,338182,1.0,8954880,8954880,tie
38,5,275278,275278,1.0,9592320,9592320,tie
39,2,708430,708430,1.0,9166848,9166848,tie
39,3,478013,478013,1.0,11911168,11911168,tie
39,4,368961,368961,1.0,14536704,14536704,tie
39,5,338925,338925,1.0,14536704,14536704,tie
40,2,134642,134642,1.0,1227916,1227916,tie
40,3,105492,105492,1.0,1985768,1985768,tie
40,4,89539,89539,1.0,1836692,1836692,tie
40,5,78938,78938,1.0,1915296,1915296,tie
41,2,2990398,2990398,1.0,33669120,33669120,tie
41,3,1991911,1991911,1.0,34851840,34851840,tie
41,4,1490603,1490603,1.0,39164928,39164928,tie
41,5,1196379,1196379,1.0,40630272,40630272,tie
42,2,840111,840111,1.0,7262496,7262496,tie
42,3,570685,570685,1.0,8474176,8474176,tie
42,4,430510,430510,1.0,8605536,8605536,tie
42,5,350713,350713,1.0,9936736,9936736,tie
43,2,349881,349881,1.0,3210754,3210754,tie
43,3,250900,250900,1.0,4852554,4852554,tie
43,4,207895,207895,1.0,5894554,5894554,tie
43,5,199041,199041,1.0,6609206,6609206,tie
44,2,54510,54510,1.0,886880,886880,tie
44,3,44484,44484,1.0,891584,891584,tie
44,4,49989,49989,1.0,1389344,1389344,tie
44,5,43028,43028,1.0,655488,655488,tie
45,2,63059,63059,1.0,0,0,tie
45,3,42601,42601,1.0,0,0,tie
45,4,31878,31878,1.0,0,0,tie
45,5,26164,26164,1.0,0,0,tie
46,2,112410,112410,1.0,942688,942688,tie
46,3,96500,96500,1.0,2958528,2958528,tie
46,4,71871,71871,1.0,2098976,2098976,tie
46,5,77698,77698,1.0,2660736,2660736,tie
47,2,197413,197413,1.0,1264006,1264006,tie
47,3,156690,156690,1.0,1857324,1857324,tie
47,4,143256,143256,1.0,2256146,2256146,tie
47,5,135565,135565,1.0,2575320,2575320,tie
48,2,150049,150049,1.0,467846,467846,tie
48,3,114626,114626,1.0,1177612,1177612,tie
48,4,114384,114384,1.0,1270930,1270930,tie
48,5,101641,101641,1.0,1273560,1273560,tie
49,2,126174,126174,1.0,1027062,1027062,tie
49,3,83711,83711,1.0,2408560,2408560,tie
49,4,75814,75814,1.0,2607184,2607184,tie
49,5,76846,76846,1.0,2907980,2907980,tie
50,2,87435,87435,1.0,1022694,1022694,tie
50,3,60421,60421,1.0,1831624,1831624,tie
50,4,57912,57912,1.0,2053712,2053712,tie
50,5,57017,57017,1.0,1337182,1337182,tie
51,2,319230,319230,1.0,394084,394084,tie
51,3,228581,228581,1.0,328736,328736,tie
51,4,183794,183794,1.0,591064,591064,tie
51,5,170016,170016,1.0,427456,427456,tie
52,2,90903,90903,1.0,102912,102912,tie
52,3,60160,60160,1.0,181248,181248,tie
52,4,45777,45777,1.0,254976,254976,tie
52,5,37846,37846,1.0,333312,333312,tie
53,2,723016,723016,1.0,4631434,4631434,tie
53,3,495435,495435,1.0,6090084,6090084,tie
53,4,394500,394500,1.0,8679750,8679750,tie
53,5,357068,357068,1.0,9823040,9823040,tie
54,2,465795,465795,1.0,2620302,2620302,tie
54,3,359793,359793,1.0,4112418,4112418,tie
54,4,274779,274779,1.0,7279264,7279264,tie
54,5,257061,257061,1.0,8197794,8197794,tie
55,2,52737,52737,1.0,16384,16384,tie
55,3,35943,35943,1.0,74240,74240,tie
55,4,31281,31281,1.0,115712,115712,tie
55,5,24831,24831,1.0,173568,173568,tie
56,2,172836,172836,1.0,3326338,3326338,tie
56,3,122295,122295,1.0,3278908,3278908,tie
56,4,115731,115731,1.0,3685886,3685886,tie
56,5,117134,117134,1.0,4124830,4124830,tie
57,2,29703,29703,1.0,22304,22304,tie
57,3,20565,20565,1.0,14112,14112,tie
57,4,16345,16345,1.0,28224,28224,tie
57,5,14028,14028,1.0,14400,14400,tie
58,2,2266495,2266495,1.0,29548544,29548544,tie
58,3,1538252,1538252,1.0,30400512,30400512,tie
58,4,1141935,1141935,1.0,31551488,31551488,tie
58,5,1000800,1000800,1.0,32104448,32104448,tie
59,2,369318,369318,1.0,360448,360448,tie
59,3,254073,254073,1.0,1171456,1171456,tie
59,4,185216,185216,1.0,1081344,1081344,tie
59,5,150782,150782,1.0,2072576,2072576,tie
60,2,441525,441525,1.0,2746508,2746508,tie
60,3,295983,295983,1.0,3159296,3159296,tie
60,4,223107,223107,1.0,3960200,3960200,tie
60,5,180081,180081,1.0,3733888,3733888,tie
61,2,39298,39298,1.0,34560,34560,tie
61,3,28342,28342,1.0,43008,43008,tie
61,4,23892,23892,1.0,62208,62208,tie
61,5,18840,18840,1.0,110592,110592,tie
62,2,1431735,1431735,1.0,2347008,2347008,tie
62,3,958567,958567,1.0,2268672,2268672,tie
62,4,722454,722454,1.0,2603520,2603520,tie
62,5,579973,579973,1.0,2746368,2746368,tie
63,2,536070,536070,1.0,1049088,1049088,tie
63,3,358763,358763,1.0,1262592,1262592,tie
63,4,270138,270138,1.0,1420800,1420800,tie
63,5,218917,218917,1.0,1539072,1539072,tie
64,2,14726,14130,1.0421797593772115,75590,47620,win
64,3,13455,13074,1.0291418081688848,66186,41446,win
64,4,10160,10160,1.0,130956,130956,tie
64,5,11391,11391,1.0,159314,159314,tie
65,2,25517,25517,1.0,13968,13968,tie
65,3,17964,17964,1.0,27936,27936,tie
65,4,13800,13800,1.0,41904,41904,tie
65,5,11212,11212,1.0,55872,55872,tie
66,2,203504,203504,1.0,1653418,1653418,tie
66,3,146357,146357,1.0,2500738,2500738,tie
66,4,116226,116226,1.0,3806464,3806464,tie
66,5,106067,106067,1.0,3979388,3979388,tie
67,2,32040130,32040130,1.0,215994240,215994240,tie
67,3,21255269,21255269,1.0,159238912,159238912,tie
67,4,16409509,16409509,1.0,226600576,226600576,tie
67,5,13461153,13461153,1.0,229484544,229484544,tie
68,2,196346,196346,1.0,1624576,1624576,tie
68,3,180284,180284,1.0,2355384,2355384,tie
68,4,156990,156990,1.0,2646854,2646854,tie
68,5,158423,158423,1.0,5510878,5510878,tie
69,2,17661,17030,1.0370522607163828,179494,364198,win
69,3,16631,14179,1.1729318005501093,278084,325098,win
69,4,15620,15620,1.0,361896,361896,tie
69,5,16803,13147,1.2780862554194874,355242,433008,win
70,2,54493,54493,1.0,129536,129536,tie
70,3,39333,39333,1.0,259072,259072,tie
70,4,30080,30080,1.0,333312,333312,tie
70,5,25374,25374,1.0,449024,449024,tie
71,2,13765,12313,1.1179241452123772,173988,171622,win
71,3,12869,9867,1.3042464781595215,234308,250696,win
71,4,11417,10732,1.0638278046962355,208904,223406,win
71,5,12234,10542,1.1605008537279453,253002,307214,win
72,2,11836023,11836023,1.0,113724192,113724192,tie
72,3,7941294,7941294,1.0,120851232,120851232,tie
72,4,5965868,5965868,1.0,123071264,123071264,tie
72,5,4826156,4826156,1.0,77245216,77245216,tie
73,2,5294770,5294770,1.0,86179712,86179712,tie
73,3,3805931,3805931,1.0,134138624,134138624,tie
73,4,3295138,3295138,1.0,137012864,137012864,tie
73,5,2848898,2848898,1.0,94477312,94477312,tie
74,2,814840,814840,1.0,3776512,3776512,tie
74,3,542996,542996,1.0,5619712,5619712,tie
74,4,408908,408908,1.0,6623232,6623232,tie
74,5,328499,328499,1.0,7151616,7151616,tie
75,2,754663,754663,1.0,4745798,4745798,tie
75,3,557783,557783,1.0,12507404,12507404,tie
75,4,462730,462730,1.0,11096688,11096688,tie
75,5,378054,378054,1.0,12427608,12427608,tie
76,2,3065214,3065214,1.0,31095808,31095808,tie
76,3,2046322,2046322,1.0,17912832,17912832,tie
76,4,1527039,1527039,1.0,19563520,19563520,tie
76,5,1227673,1227673,1.0,22311936,22311936,tie
77,2,248734,248734,1.0,57344,57344,tie
77,3,168976,168976,1.0,114688,114688,tie
77,4,127832,127832,1.0,114688,114688,tie
77,5,114837,114837,1.0,172032,172032,tie
78,2,1050081,1050081,1.0,2782080,2782080,tie
78,3,718909,718909,1.0,6965760,6965760,tie
78,4,540759,540759,1.0,6950784,6950784,tie
78,5,470359,470359,1.0,10766304,10766304,tie
79,2,15118882,15118882,1.0,194232320,194232320,tie
79,3,10181692,10181692,1.0,39960576,39960576,tie
79,4,7620379,7620379,1.0,31801344,31801344,tie
79,5,6063012,6063012,1.0,34084864,34084864,tie
80,2,145825,145825,1.0,1675264,1675264,tie
80,3,100325,100325,1.0,3047424,3047424,tie
80,4,90584,90584,1.0,2666496,2666496,tie
80,5,89345,89345,1.0,3047424,3047424,tie
81,2,76860,76860,1.0,0,0,tie
81,3,51943,51943,1.0,0,0,tie
81,4,39588,39588,1.0,0,0,tie
81,5,30943,30943,1.0,0,0,tie
82,2,407535,407535,1.0,3389668,3389668,tie
82,3,288553,288553,1.0,5338828,5338828,tie
82,4,235778,235778,1.0,6420240,6420240,tie
82,5,206503,206503,1.0,7708408,7708408,tie
83,2,442847,442847,1.0,5589600,5589600,tie
83,3,290664,290664,1.0,5739712,5739712,tie
83,4,220741,220741,1.0,6471456,6471456,tie
83,5,201107,201107,1.0,7741824,7741824,tie
84,2,1175864,1175864,1.0,32004864,32004864,tie
84,3,836220,836220,1.0,0,0,tie
84,4,629028,629028,1.0,0,0,tie
84,5,503472,503472,1.0,0,0,tie
85,2,1843091,1843091,1.0,17607566,17607566,tie
85,3,1276351,1276351,1.0,31680716,31680716,tie
85,4,995687,995687,1.0,27902578,27902578,tie
85,5,890475,890475,1.0,38398484,38398484,tie
86,2,74609,74609,1.0,1019206,1019206,tie
86,3,64401,63229,1.0185357984469152,1574634,2197292,win
86,4,63006,62299,1.0113484967655981,1919826,2353614,win
86,5,65815,60402,1.0896162378729182,2223540,2265748,win
87,2,1987606,1987606,1.0,10142208,10142208,tie
87,3,1374901,1374901,1.0,11036160,11036160,tie
87,4,1046846,1046846,1.0,12607488,12607488,tie
87,5,833349,833349,1.0,12487680,12487680,tie
88,2,132639,132639,1.0,1032234,1032234,tie
88,3,122079,122079,1.0,1572244,1572244,tie
88,4,112565,112565,1.0,2028164,2028164,tie
88,5,112833,112833,1.0,2034888,2034888,tie
89,2,329513,329513,1.0,1467520,1467520,tie
89,3,225452,225452,1.0,2429184,2429184,tie
89,4,165365,165365,1.0,1827200,1827200,tie
89,5,133148,133148,1.0,2186320,2186320,tie
90,2,470442,470442,1.0,3196848,3196848,tie
90,3,342250,342250,1.0,5523456,5523456,tie
90,4,294798,294798,1.0,7360608,7360608,tie
90,5,267434,267434,1.0,7981056,7981056,tie
91,2,4532609,4532609,1.0,52032556,52032556,tie
91,3,3042680,3042680,1.0,60113508,60113508,tie
91,4,2314443,2314443,1.0,67112896,67112896,tie
91,5,1872567,1872567,1.0,71035764,71035764,tie
92,2,2017778,2017778,1.0,10740320,10740320,tie
92,3,1348585,1348585,1.0,21856448,21856448,tie
92,4,1018849,1018849,1.0,18053920,18053920,tie
92,5,826308,826308,1.0,19945856,19945856,tie
93,2,37827,37827,1.0,8192,8192,tie
93,3,25103,25103,1.0,16384,16384,tie
93,4,19779,19779,1.0,24576,24576,tie
93,5,15876,15876,1.0,32768,32768,tie
94,2,47498,47498,1.0,106272,106272,tie
94,3,32728,32728,1.0,212544,212544,tie
94,4,24668,24668,1.0,318528,318528,tie
94,5,21804,21804,1.0,424800,424800,tie
95,2,1042890,1042890,1.0,0,0,tie
95,3,695775,695775,1.0,0,0,tie
95,4,524422,524422,1.0,0,0,tie
95,5,420852,420852,1.0,0,0,tie
96,2,42443,42443,1.0,346520,346520,tie
96,3,30876,30876,1.0,123264,123264,tie
96,4,24217,24217,1.0,234168,234168,tie
96,5,22137,22137,1.0,448896,448896,tie
97,2,5153667,5153667,1.0,2490368,2490368,tie
97,3,3444086,3444086,1.0,82444288,82444288,tie
97,4,2622394,2622394,1.0,14221312,14221312,tie
97,5,2102348,2102348,1.0,21311488,21311488,tie
98,2,89620,89620,1.0,0,0,tie
98,3,65476,65476,1.0,784240,784240,tie
98,4,53735,53735,1.0,961274,961274,tie
98,5,47355,47355,1.0,1166870,1166870,tie
99,2,807983,807983,1.0,5906432,5906432,tie
99,3,540063,540063,1.0,6479872,6479872,tie
99,4,405336,405336,1.0,9838592,9838592,tie
99,5,332266,332266,1.0,7084052,7084052,tie
100,2,76850,76850,1.0,621700,621700,tie
100,3,57811,57811,1.0,72192,72192,tie
100,4,49623,49623,1.0,1207894,1207894,tie
100,5,53383,53383,1.0,1599352,1599352,tie
