case,cores,makespan,added,single,no_l2_makespan,no_l2_added,cache_hit_rate,same_plan_cache_ratio
84,2,1118852,24488448,2507412,1122732,24488448,0.05489970795538879,1.0034678402505426
85,2,1841833,17607566,3187899,1842459,17607566,0.07525368826063225,1.000339878805516
86,2,71886,1069062,118403,72593,1069062,0.14734914208598418,1.0098350165539882
87,2,1980853,9455616,3974071,1982000,9455616,0.259558353876274,1.0005790434726858
88,2,131481,1033770,243623,132030,1033770,0.09234703234047485,1.0041755082483401
89,2,329216,1475712,693092,329216,1475712,0.0799956659188252,1.0
90,2,452647,3196848,1178363,463664,3196848,0.3620185566395179,1.0243390544950037
91,2,4531465,52032556,9186769,4532609,52032556,0.3523235831250613,1.0002524569868685
92,2,2009155,20225120,4815554,2052957,20225120,0.5769645899395782,1.021801204984185
93,2,37559,28672,74205,37559,28672,0.01384083044982699,1.0
94,2,42420,243400,94892,42420,243400,0.059393306652746364,1.0
95,2,1033019,110592,2084853,1033019,110592,0.0,1.0
96,2,42003,346520,84194,42010,346520,0.27727468736524363,1.000166654762755
97,2,5152906,2490368,11491509,5152906,2490368,0.00902061855670103,1.0
98,2,89620,0,177430,89620,0,0.0,1.0
99,2,802533,6561792,1622999,803794,6561792,0.40980607391145263,1.0015712749506873
100,2,69982,462338,151223,70331,462338,0.2775868790160811,1.004986996656283
1,3,78545,2304,233110,78545,2304,0.0,1.0
2,3,90565,423936,261945,90565,423936,0.0,1.0
3,3,265160,9497892,602212,274348,9497892,0.21740145290564392,1.0346507768894253
4,3,134043,221184,392357,134043,221184,0.0,1.0
5,3,52419,1479690,95618,54077,1479690,0.24384526998545028,1.0316297525706328
6,3,26792,58776,82837,26792,58776,0.08783282912267346,1.0
7,3,338094,55296,1012562,338094,55296,0.0,1.0
8,3,157239,0,487605,157239,0,0.0,1.0
9,3,71649,740904,153261,71678,740904,0.08712334384720423,1.0004047509386034
10,3,29582,48384,86969,29582,48384,0.04794872150616702,1.0
11,3,63333,1658880,184697,63333,1658880,0.2081151832460733,1.0
12,3,17926,189892,59088,17926,189892,0.06728949502838776,1.0
13,3,88351,16384,263949,88351,16384,0.0,1.0
14,3,5906299,50501016,17698626,5918421,50501016,0.3900005323387868,1.0020523850892074
15,3,54286,208128,177362,54310,208128,0.13050585295759695,1.0004421029363004
16,3,2877209,341100,7715523,2877849,341100,0.4511892425296108,1.000222437786063
17,3,45302,175104,162810,45302,175104,0.10813520279574555,1.0
18,3,334510,3143680,1004367,335653,3143680,0.46289194295264885,1.0034169382081253
19,3,27188,24576,81144,27188,24576,0.0,1.0
20,3,177888,0,532746,177888,0,0.0,1.0
21,3,2090922,34854912,6567937,2090922,34854912,0.01654612107401169,1.0
22,3,18852,6912,56780,18852,6912,0.03135376408469871,1.0
23,3,38878,207264,122614,38878,207264,0.323150177895994,1.0
24,3,953897,332124,2555343,954537,332124,0.45342530541350096,1.0006709319769325
25,3,1622164,55296,4863026,1622164,55296,0.0,1.0
26,3,41510,95664,99203,41510,95664,0.16365409289196817,1.0
27,3,744579,6094848,2363952,744579,6094848,0.25254730713246,1.0
28,3,13683867,39800832,43836040,13694984,39800832,0.13229390799045654,1.0008124165486263
29,3,12743,0,37555,12743,0,0.0,1.0
30,3,932670,8620032,2808034,932659,8620032,0.49251510925151093,0.9999882059034814
31,3,473052,7544832,1414369,473822,7544832,0.4998098595921005,1.0016277280298995
32,3,11773,12360,41443,11773,12360,0.04239904499238464,1.0
33,3,587856,6964800,1774196,589213,6964800,0.326358727980613,1.002308388448872
34,3,261876,2288640,842996,261986,2288640,0.48839563071944636,1.000420046128702
35,3,75026,1254808,169571,75100,1254808,0.19619700925032632,1.0009863247407564
36,3,311345,2304,931510,311345,2304,0.0,1.0
37,3,72397,1687552,210001,72397,1687552,0.41920374707259955,1.0
38,3,449048,8107008,1364555,449590,8107008,0.3442319004855426,1.0012069979155904
39,3,475590,12500992,1435262,479217,12500992,0.27268268759195685,1.0076263167854664
40,3,105156,1985768,253454,105492,1985768,0.21786525106837606,1.0031952527673171
41,3,1985351,34842624,6003957,1986870,34842624,0.19030340461669112,1.0007651040042793
42,3,559213,8588864,1686740,563361,8588864,0.3929382033610412,1.0074175671881733
43,3,250445,4852554,677656,250648,4852554,0.32333000797563993,1.0008105572081694
44,3,37575,537536,154407,42170,537536,0.2595599375862147,1.1222887558216899
45,3,42214,0,125614,42214,0,0.0,1.0
46,3,83675,773312,276455,83842,773312,0.23554301833568406,1.0019958171496863
47,3,156551,1863980,326508,156780,1863980,0.2166838436370901,1.0014627820965691
48,3,113339,1177612,222220,113666,1177612,0.13288003795031114,1.002885149860154
49,3,83597,2408560,196276,83711,2408560,0.09888919933464879,1.0013636852997116
50,3,59766,1828552,149690,60161,1828552,0.12459260653156036,1.006609108857879
51,3,227941,328736,607628,228581,328736,0.4542765419503648,1.0028077441092214
52,3,57038,181248,180301,57038,181248,0.07592515626071833,1.0
53,3,494343,6090084,1472686,495343,6090084,0.25551366273555187,1.0020228869428716
54,3,359075,4093218,815051,359071,4093218,0.12093076534242156,0.9999888602659611
55,3,33849,74240,118835,34195,74240,0.10606744655195076,1.0102218677065793
56,3,121783,3274876,277285,121923,3274876,0.09399756935493206,1.0011495857385677
57,3,20565,14112,59726,20565,14112,0.0008212147134302823,1.0
58,3,1486029,32583680,4539717,1491108,32583680,0.19933138320100294,1.0034178337031108
59,3,253977,1171456,829473,254073,1171456,0.5072727272727273,1.0003779869830733
60,3,295328,3080448,888789,295948,3080448,0.4473233149874887,1.0020993607108029
61,3,26332,43008,77191,26332,43008,0.07326197014193143,1.0
62,3,955896,2268672,2854809,955896,2268672,0.0,1.0
63,3,358583,1262592,1070397,358583,1262592,0.013477801268498943,1.0
64,3,13031,41446,19116,13031,41446,0.13661617831867187,1.0
65,3,15330,27936,53068,15330,27936,0.08526015088995777,1.0
66,3,143677,2491906,359070,144914,2491906,0.21819224742873372,1.0086095895654836
67,3,20710881,161681152,63834834,21240727,161681152,0.6675914222581176,1.0255829773731016
68,3,179131,2355384,362095,180284,2355384,0.18474604526676608,1.0064366301756815
69,3,12339,361994,25144,12716,361994,0.20762658861202843,1.0305535294594375
70,3,39333,259072,117300,39333,259072,0.2729942703960644,1.0
71,3,8875,248488,18919,9349,248488,0.2714280400252948,1.0534084507042254
72,3,7926463,116640544,23897828,7933930,116640544,0.12640713422589445,1.0009420342970123
73,3,3445658,132268800,10081626,3784981,132268800,0.3442273954594676,1.0984784328566561
74,3,541942,8257536,1682239,544370,8257536,0.29067334814018064,1.0044801842263564
75,3,554461,12507404,1441809,557783,12507404,0.23354090438258052,1.0059914042646823
76,3,2045044,17794048,6185113,2046296,17794048,0.5505430242272348,1.0006122117665928
77,3,168923,114688,495320,168923,114688,0.025419025615838663,1.0
78,3,707111,7071360,2296143,718637,7071360,0.43861411455289306,1.0163001282684048
79,3,9962808,45273088,31052251,9964215,45273088,0.2715683130211674,1.0001412252449309
80,3,100325,2412544,292138,101086,2412544,0.4117647058823529,1.0075853476202343
81,3,51202,20496,151795,51202,20496,0.011579213201509217,1.0
82,3,287402,5338828,721041,288690,5338828,0.17250495013296135,1.00448152761637
