case,limit_seconds,elapsed_seconds,stage,remote_host,command,output_dir,status
case_038,600,894.698147599935,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_038 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_038 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_038.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_038,completed_after_target
case_031,600,861.681182999979,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_031 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_031 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_031.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_031,completed_after_target
case_039,600,730.877386500069,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_039 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_039 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_039.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_039,completed_after_target
case_060,600,748.157668999804,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_060 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_060 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_060.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_060,completed_after_target
case_066,600,927.550128899806,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_066 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_066 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_066.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_066,completed_after_target
case_009,600,948.869866999856,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_009 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_009 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_009.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_009,completed_after_target
case_068,600,785.61025060009,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_068 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_068 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_068.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_068,completed_after_target
case_042,600,654.159349500027,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_042 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_042 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_042.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_042,completed_after_target
case_086,600,727.875492300023,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_086 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_086 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_086.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_086,completed_after_target
case_073,600,679.111961599963,candidate_eval,jishishan-remote,"cmd.exe /c ""cd /d C:\Users\jishishan\codex_runs\Allin2_925v2\npu_schedule_project && C:\Users\jishishan\.conda\envs\yolonew\python.exe -u src\run_experiments.py --mode full --problems 1 --cores 5 --cases case_073 --workers 1 --budget standard --output C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_073 1> C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_073.log 2>&1""",C:\Users\jishishan\codex_runs\Allin2_925v2\results_p1_n5_full\case_073,completed_after_target
