case,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction,average_point_loss_contribution,core2_loss_contribution,core3_loss_contribution,core4_loss_contribution,core5_loss_contribution,gates
case_006,678,27,21,0.20058997050147492,0.3893446305924642,0.0021692677194950416,0.0,0.0005574138242901983,0.0036713030464472097,0.004448354007242758,dominant_component;eligible
case_068,5351,32,263,0.7804148757241637,0.8026641060739167,0.0021134131657387194,-0.0002936471937196927,0.0008032208798718022,0.0035718330420923317,0.004372245934710437,dominant_component
case_010,667,36,61,0.19940029985007496,0.3616847347636894,0.001883706304393924,0.0,0.0059450062923619255,0.0029781170289347792,-0.0013882981037210084,dominant_component;eligible
case_088,3309,31,175,0.8455726805681475,0.8076180301598389,0.0017623188919227884,-0.000647740663822085,0.000453987458264844,0.0030659712903992452,0.004177057482849149,dominant_component
case_061,1115,40,44,0.14977578475336323,0.23506357057691626,0.0016615165318523517,0.0,0.0,0.0,0.006646066127409407,dominant_component;eligible
case_003,13455,10,304,0.9806020066889632,0.8531484413094738,0.0015143496383976068,0.0018102988262146936,0.0021354833846717945,0.0016682805882114616,0.00044333575449247766,dominant_component
case_044,1364,11,123,0.09090909090909091,0.09090909090909091,0.0013881028241879228,0.0012210540360498977,0.0017605021850370982,0.0016885969644182986,0.0008822581112463968,all_components_have_large_union_footprint
case_056,7678,19,299,0.9721281583745767,0.9687704561440601,0.0013749161668960774,0.000767077373777667,0.0010851859115341433,0.0014441137340255228,0.0022032876482469765,dominant_component
case_021,3920,80,6,0.0125,0.0125,0.0012242428593664423,0.0003952559790510657,0.00032922788411427373,0.0016183524244496716,0.002554135149850758,all_components_have_large_union_footprint
case_019,647,31,78,0.26275115919629055,0.3053343710710651,0.0010772571326594592,-0.0007316334749295672,-0.0003156730898556903,0.0015425035807118271,0.0038138315147112677,dominant_component;eligible
case_079,18720,288,7,0.003472222222222222,0.003472222222222222,0.001066193450972247,0.00025849049101724477,0.000778220417695441,0.0013718480173618274,0.0018562148778144749,all_components_have_large_union_footprint
case_049,4303,11,185,0.918429003021148,0.8423976920611176,0.0010370697107672632,0.0008356532749194257,0.0012367229686829706,0.0011837866651477013,0.0008921159343189555,dominant_component
case_097,6592,64,51,0.015625,0.015625,0.0009125535636357108,0.0003187717957294511,-0.00045791252727958034,0.0018653971088117061,0.001923957877281266,all_components_have_large_union_footprint
case_064,906,1,122,1.0,1.0,0.0008701002960872106,-1.4144271570013522e-05,0.00093305536191985,0.0012789071079622482,0.0012825829860367577,insufficient_independent_components
case_017,1373,60,17,0.11798980335032774,0.04447488526017296,0.0006452090516132424,-0.00016174421138205554,0.0027061911421277472,0.0013638400131980478,-0.0013274507374907696,eligible
case_092,17608,142,123,0.007042253521126761,0.007042253521126761,0.0005351602059328992,-0.0029306880513702603,-0.0012513723758557527,0.0013415388752555301,0.00498116237570208,all_components_have_large_union_footprint
case_015,1013,46,28,0.14313919052319843,0.1764072667456881,0.00037856813727657143,0.0,9.702595714104589e-05,0.0,0.0014172465919652399,eligible
case_054,15751,24,353,0.97708082026538,0.5840315453962877,0.00032420509452989134,-0.0002393369924934552,-0.00024249653534849536,0.0007248589266032513,0.0010537949793582647,dominant_component
case_046,992,8,123,0.125,0.125,0.0003144811206165195,-0.0009650059568911873,0.0013267010397138357,0.004617953103487154,-0.0037217237038437243,all_components_have_large_union_footprint
case_078,1024,8,123,0.125,0.125,0.00028439789269172006,3.3178005929079825e-05,-0.002092340833116837,0.001933869648040374,0.0012628847499142636,all_components_have_large_union_footprint
case_014,35705,1340,123,0.0034729029547682397,0.0020271978900422787,0.00025669769441362454,0.00022578015038293042,0.00033612562905356304,0.00025799245651801693,0.00020689254169998784,eligible
