case,cores,single_makespan,baseline_makespan,makespan,external_makespan,baseline_speedup,speedup,external_speedup,baseline_added_bytes,added_bytes,external_added_bytes,spill_added_bytes,partition_added_bytes,mean_speedup_loss_contribution,gate,tasks,used_cores,solve_seconds,validation_seconds,local_prepare_seconds,best_candidate,noncopy_ops,components,max_depth,largest_component_node_fraction,largest_component_work_fraction
case_044,4,154407,143812,143812,124268,1.0736725725252414,1.0736725725252414,1.2425322689670713,5510560,5510560,5678624,2671872,2838688,0.0016885969644182986,all_components_have_large_union_footprint,4,3,5.4146599266678095,0.564371932297945,0,multilevel,1364,11,123,0.09090909090909091,0.09090909090909091
case_044,5,154407,143812,143812,132892,1.0736725725252414,1.0736725725252414,1.161898383649881,5510560,5510560,6196032,2671872,2838688,0.0008822581112463968,all_components_have_large_union_footprint,4,3,5.171906761825085,0.5521970205008984,0,multilevel,1364,11,123,0.09090909090909091,0.09090909090909091
case_045,2,125614,65817,63059,63059,1.9085342692617409,1.99200748505368,1.99200748505368,348160,0,0,0,0,0.0,eligible,2,2,6.746676383540034,0.6381985917687416,1.5993846841156483,structural_component_lpt,1651,68,23,0.016959418534221685,0.016959418534221685
case_045,3,125614,48646,42601,42601,2.582206142334416,2.94861622966597,2.94861622966597,323584,0,0,0,0,0.0,eligible,3,3,6.589846039190888,0.5023748371750116,1.527141248807311,structural_component_lpt,1651,68,23,0.016959418534221685,0.016959418534221685
case_045,4,125614,37337,31878,31878,3.3643302889894744,3.940460505677897,3.940460505677897,303104,0,0,0,0,0.0,eligible,4,4,6.882757380604744,0.5327352806925774,1.5485565103590488,structural_component_lpt,1651,68,23,0.016959418534221685,0.016959418534221685
case_045,5,125614,33313,26164,26164,3.770720139284964,4.801024308209754,4.801024308209754,557056,0,0,0,0,0.0,eligible,5,5,6.945221731439233,0.4497116208076477,1.516211412847042,structural_component_lpt,1651,68,23,0.016959418534221685,0.016959418534221685
case_046,2,276455,152419,152419,160984,1.81378305854257,1.81378305854257,1.7172824628534513,5255872,5255872,4513952,737280,4518592,-0.0009650059568911873,all_components_have_large_union_footprint,7,2,3.6479149647057056,0.3124253433197737,0,local_reschedule,992,8,123,0.125,0.125
case_046,3,276455,152587,152587,142176,1.8117860630328928,1.8117860630328928,1.9444561670042764,5924000,5924000,4021280,0,5924000,0.0013267010397138357,all_components_have_large_union_footprint,16,3,3.595084508880973,0.29815724305808544,0,greedy,992,8,123,0.125,0.125
case_046,4,276455,157369,157369,124612,1.7567309953040307,1.7567309953040307,2.218526305652746,6977824,6977824,4513952,0,6977824,0.004617953103487154,all_components_have_large_union_footprint,31,4,3.4585614278912544,0.29822226613759995,0,random_migrate,992,8,123,0.125,0.125
case_046,5,276455,111389,111389,131039,2.4818877986156624,2.4818877986156624,2.10971542823129,4672800,4672800,5013664,0,4672800,-0.0037217237038437243,all_components_have_large_union_footprint,21,5,3.6949307024478912,0.336466982960701,0,directed_split,992,8,123,0.125,0.125
case_047,2,326508,276535,276535,244217,1.180711302366789,1.180711302366789,1.3369585245908353,4380996,4380996,2487908,0,4380996,0.001562472222240463,insufficient_independent_components,429,2,74.72910150140524,10.363157765939832,0,grain_1.0,13710,1,459,1.0,1.0
case_047,3,326508,241969,241969,209006,1.3493794659646483,1.3493794659646483,1.5621943867640165,5051902,5051902,2487908,0,5051902,0.0021281492079936815,insufficient_independent_components,857,3,85.4152602609247,21.131270721554756,0,grain_0.5,13710,1,459,1.0,1.0
