case,cores,method,makespan,baseline_makespan,speedup,added_copy_bytes,plan_path,plan_sha256,evidence
case_015,5,ls_component_group3,38650,177362,4.588926261319534,242688,solutions/5cores/case_015_multicore_res.json,5cf614891de609bf5c76ecb8088979158870c34b9386975c250c6eaa0305b3b4,delivered_method_reconstruction_and_replay
case_016,1,official_singlecore,7715523,7715523,1.0,0,solutions/1cores/case_016_multicore_res.json,19d365422ae9ccef1999767d13ce89179d5ab1c75a35ee55f2d898297a4e7d23,new_full_search_and_replay
case_016,2,stage_pack,4550194,7715523,1.6956470427414743,119554128,solutions/2cores/case_016_multicore_res.json,35fce27f0024097bc7ea18964bbba922787c799b62b1cc2c4369cd865f68e763,new_full_search_and_replay
case_016,3,stage_pack,3712678,7715523,2.0781557140155975,119554736,solutions/3cores/case_016_multicore_res.json,2be12d118342c17eb2f19c6fc6ae61c99f508bba063be993d67c0a578425b337,new_full_search_and_replay
case_016,4,stage_pack,3241338,7715523,2.380351262349067,119555344,solutions/4cores/case_016_multicore_res.json,355124fec9ba55b8785be84f5b46f07ac9edeb2f704a1bd7b047e324a4475ea9,new_full_search_and_replay
case_016,5,stage_pack,3223183,7715523,2.3937589023024755,119555952,solutions/5cores/case_016_multicore_res.json,9c6e6a98b25c50425f1aaebff933acecab2d8e42774af0f631d78dd22f662cfa,delivered_method_reconstruction_and_replay
case_017,1,official_singlecore,162810,162810,1.0,22528,solutions/1cores/case_017_multicore_res.json,11a9cba3896d9529e81ee2fbba62f805bc189c615225dbff3efd738ec6cdd340,new_full_search_and_replay
case_017,2,component_batches_512,81292,162810,2.002780101362988,92160,solutions/2cores/case_017_multicore_res.json,e43402dd94be3e6b07428e78c9fc2c554ce951051ea1dd8d2858ce7240e6a2f6,new_full_search_and_replay
case_017,3,component_batches,49383,162810,3.296883542919628,175104,solutions/3cores/case_017_multicore_res.json,3adaf6a8ad1e4db1f4fa691690e38a94d289146f4769f93ce1da98b384a82377,new_full_search_and_replay
case_017,4,component_batches_128,39494,162810,4.122398338988201,263808,solutions/4cores/case_017_multicore_res.json,12d42f1580bab5dab79235f63dc07abeba906e9f2eaf12106d0ded1e9afbd3e8,new_full_search_and_replay
case_017,5,kios_pipe_vector_lpt,33846,162810,4.81031731962418,329472,solutions/5cores/case_017_multicore_res.json,a924111d5ffbce223abe61cf618670bc2a2bd573197d2732d30be1f07eea88b9,delivered_method_reconstruction_and_replay
case_018,1,official_singlecore,1004367,1004367,1.0,1970176,solutions/1cores/case_018_multicore_res.json,890ceb0b49b4b6001da4358bccb39342fc92672fd85ec2418c40c0c47eea5675,new_full_search_and_replay
case_018,2,component_batches_512,503251,1004367,1.995757584187612,3367936,solutions/2cores/case_018_multicore_res.json,8134c9677f9f5adc74065947bdcb2d76a1d59e1f6da4d319bb882a5f56160c11,new_full_search_and_replay
case_018,3,component_batches_512,338233,1004367,2.9694530102030257,3834240,solutions/3cores/case_018_multicore_res.json,c93a588ad692ff7735fd4cd6277cfeaccb53959e7a46dde760067514a68538dd,new_full_search_and_replay
case_018,4,component_lpt,253676,1004367,3.9592511707847806,4938752,solutions/4cores/case_018_multicore_res.json,dafe526ff06b3b248689f6bf74ac9af0717a04adb4ef1c33e7520cd369c4071f,new_full_search_and_replay
case_018,5,ls_kios_adaptive_batch_t2,202593,1004367,4.95756023159734,5586944,solutions/5cores/case_018_multicore_res.json,e6d5bcc72e41329e2c5f20cb194bda58dc1c8429e007771f9f14f060011499b5,delivered_method_reconstruction_and_replay
case_019,1,official_singlecore,81144,81144,1.0,0,solutions/1cores/case_019_multicore_res.json,6edfe829f9c086542ff575000b32c8fd979560192429da428b1387bc6d93cca7,new_full_search_and_replay
case_019,2,component_lpt,41643,81144,1.9485627836611195,27168,solutions/2cores/case_019_multicore_res.json,5bf261fdfab66af65d9182efce6f62e1b4420784a2895c08d8a38b6f15588a9c,new_full_search_and_replay
case_019,3,component_batches,28153,81144,2.8822505594430434,27168,solutions/3cores/case_019_multicore_res.json,993629b62dee492abe7427ada1d6ec6797572591ad9deea6cff09b21107d2d5b,new_full_search_and_replay
case_019,4,scene_a_peft,23699,81144,3.423941938478417,262280,solutions/4cores/case_019_multicore_res.json,a1e9e0247a233ffb94b344be8379b1d1ae158421b4236843c6fd3cf9dad7f179,new_full_search_and_replay
case_019,5,ls_scene_a_peft,18657,81144,4.349252291365171,262280,solutions/5cores/case_019_multicore_res.json,04cae538bd1c90633884e6670a2cbdb762867952c5284d2bc4e88667a10c9283,delivered_method_reconstruction_and_replay
case_020,1,official_singlecore,532746,532746,1.0,0,solutions/1cores/case_020_multicore_res.json,bbd6b9684fa70e119fd0e3f4f7d4a94282385196530028c52aa36ef7ca17c648,new_full_search_and_replay
case_020,2,component_lpt,266580,532746,1.9984469952734638,0,solutions/2cores/case_020_multicore_res.json,7beacb6743576781368a080da44cd438b916dcc136a99604e88f6c6138d03ec6,new_full_search_and_replay
case_020,3,component_lpt,177950,532746,2.993796010115201,0,solutions/3cores/case_020_multicore_res.json,c43ba3a622d73c478f1ae0357b6d57320c2c825e6619e920d9a48dc182dace2e,new_full_search_and_replay
case_020,4,component_lpt,133704,532746,3.984518039849219,0,solutions/4cores/case_020_multicore_res.json,3139451dffdb6ac2114595295407961517249df398ce0caaa6b502fd5f57fada,new_full_search_and_replay
