case,cores,config,makespan,added_copy_bytes,single_makespan,speedup,source,evaluation_sha256
case_011,3,routes_gate_reuse,69625,1081344,184697,2.6527396768402154,图表/runs/20260924-A-q1-event-ranking-full100/case_011_3cores_seed0_routes_gate_reuse,0587505d79e80aeee328fcfdf6cdb87d655ad945ec9b08a7dc8c8f66db19911f
case_011,4,routes_gate_reuse,46880,540672,184697,3.9397824232081913,图表/runs/20260924-A-q1-event-ranking-full100/case_011_4cores_seed0_routes_gate_reuse,6073862766d207d8c221b427f02b7fccf683ddaaefa70a2ab06da1aa9859df35
case_011,5,routes_gate_reuse,47047,1630208,184697,3.9257976066486706,图表/runs/20260924-A-q1-event-ranking-full100/case_011_5cores_seed0_routes_gate_reuse,d35b3e4076cd0b15e8deea25ba52e87d2610baaa1d339c95833073e5212f5f00
case_012,1,fixed_single,59088,0,59088,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_012,674bd2222cf9f5366d482a77d7b3c06dce0d75516fb5bdc1c34334d25ac78475
case_012,2,routes_gate_reuse,29489,71816,59088,2.0037302044830274,图表/runs/20260924-A-q1-event-ranking-full100/case_012_2cores_seed0_routes_gate_reuse,c7fd2d2f187c110e17dbeb0508fc365708f470bccf5097eafbe50b05d715d1a8
case_012,3,routes_gate_reuse,20230,43320,59088,2.9208106772120614,图表/runs/20260924-A-q1-event-ranking-full100/case_012_3cores_seed0_routes_gate_reuse,d2ee52beae9c528f3087f48d3417fc3bf8c42c7c2e6ddd2c23b7b282c722071c
case_012,4,routes_gate_reuse,15724,86400,59088,3.7578224370389215,图表/runs/20260924-A-q1-event-ranking-full100/case_012_4cores_seed0_routes_gate_reuse,a22a1f71b2a080eeb1be65152099cd857687a8d6e04735278b1e9f412e084520
case_012,5,routes_gate_reuse,13406,53568,59088,4.407578696106221,图表/runs/20260924-A-q1-event-ranking-full100/case_012_5cores_seed0_routes_gate_reuse,b05260e3f5da314e8e9ea93865f196e29b30902cfb70fde7347ecd4ec6be0db0
case_013,1,fixed_single,263949,0,263949,1.0,图表/runs/20260924-A-q1-event-ranking-full100/single/case_013,889a8959f60db6bc417625710c2fc992fef48a73eb017350138a1b970fd47d4a
case_013,2,routes_gate_reuse,132198,8192,263949,1.9966187083011846,图表/runs/20260924-A-q1-event-ranking-full100/case_013_2cores_seed0_routes_gate_reuse,8ae6292e3cc9b9f6cb816c5312f658247da248b67ea17d1af98f5cbdae6a8caf
