case,cores,single,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,old_makespan,reference_makespan,solve_seconds,verification_seconds,host
case_038,3,1364555,450730,3.027433274909591,7879736,5280824,2598912,450730,452248,54.961540479213,0.1446317508816719,server
case_038,4,1364555,338163,4.0351990016648775,8930344,6740008,2190336,338163,339624,56.05045558512211,0.13095757737755775,server
case_038,5,1364555,274658,4.968196812035331,9635364,8836644,798720,274658,275133,56.34265740402043,0.12264939956367016,server
case_039,2,1435262,708557,2.0256126183214618,11550720,5603328,5947392,841140,698008,52.053322076797485,0.12643004953861237,server
case_039,3,1435262,482318,2.975758731791059,15020032,10584064,4435968,649664,485565,53.036868304014206,0.10797611996531487,server
case_039,4,1435262,395323,3.6306058590064327,17604608,12607488,4997120,564871,395323,53.57251254469156,0.1611250564455986,server
case_039,5,1435262,431161,3.3288307615948565,20480000,16809984,3670016,511084,431161,55.393181450665,0.2364693358540535,server
case_040,2,253454,120926,2.095942973388684,283200,283200,0,120926,137746,18.670189501717687,0.03689042292535305,server
case_040,3,253454,109777,2.308807855926105,642836,642836,0,145657,110105,21.813939476385713,0.044146640226244926,server
case_040,4,253454,109607,2.3123888072842065,1022796,1022796,0,142257,101582,18.761347452178597,0.05841912515461445,server
case_040,5,253454,108131,2.343953167916694,727212,727212,0,142985,95090,21.32200931943953,0.0548679381608963,server
case_041,2,6003957,2990398,2.0077451228899967,33669120,4893696,28775424,2990398,2982987,172.51421609707177,0.34681436978280544,server
case_041,3,6003957,1991911,3.0141693077652567,34851840,9787392,25064448,1991911,1991992,190.91731403954327,0.3757125101983547,server
case_041,4,6003957,1490603,4.027871270888358,39164928,14349312,24815616,1490603,1490603,182.3121707327664,0.4493661466985941,server
case_041,5,6003957,1201884,4.995454636221133,40673280,18051072,22622208,1201884,1196379,173.96372761018574,0.3936949595808983,server
case_042,2,1686740,845091,1.9959270658426134,6614304,2052384,4561920,845091,840111,38.41876889951527,0.0916612558066845,server
case_042,3,1686740,559018,3.0173268123745567,8452672,5214784,3237888,559018,562007,42.89815211109817,0.08362354524433613,server
case_042,4,1686740,419432,4.021486200385283,8676192,6541152,2135040,419432,425650,41.546841748058796,0.11205716989934444,server
case_042,5,1686740,336330,5.015133945827015,10425184,8317792,2107392,336330,342520,44.14977351389825,0.11421060562133789,server
case_043,2,677656,353710,1.915851969127251,589446,589446,0,353710,353851,68.62206544913352,0.09242815524339676,server
case_043,3,677656,267112,2.53697325466471,2381570,2381570,0,343054,268777,81.49537146836519,0.12668950855731964,server
case_043,4,677656,266590,2.5419408079822947,2584974,2584974,0,294918,254894,77.77499635145068,0.16520565189421177,server
case_043,5,677656,264401,2.562985767829925,2875646,2875646,0,294404,232508,72.06647999212146,0.1614230778068304,server
case_044,2,154407,119062,1.2968621390536024,5274528,2799392,2475136,146270,131105,7.739094909280539,0.023399323225021362,server
case_044,3,154407,123085,1.254474550107649,5678624,2791200,2887424,143812,123553,8.02076442912221,0.022183066233992577,server
case_044,4,154407,120120,1.2854395604395605,5792192,3729792,2062400,143812,124268,7.74126435816288,0.026811063289642334,server
case_044,5,154407,131771,1.1717828657291818,6309600,4660192,1649408,143812,132892,8.156967215240002,0.023478498682379723,server
case_045,2,125614,63059,1.99200748505368,0,0,0,63059,63059,7.045554371550679,0.017947712913155556,server
case_045,3,125614,42601,2.94861622966597,0,0,0,42601,42601,6.646962571889162,0.018805036321282387,server
case_045,4,125614,31878,3.940460505677897,0,0,0,31878,31878,6.329928278923035,0.0207061767578125,server
case_045,5,125614,26164,4.801024308209754,0,0,0,26164,26164,6.955476393923163,0.021499991416931152,server
case_046,2,276455,152419,1.81378305854257,5255872,4518592,737280,152419,160984,1.9607464000582695,0.019617400015704334,local
case_046,3,276455,128115,2.157865979783788,4762304,4257888,504416,152587,142176,1.9652451000874862,0.021164500038139522,local
case_046,4,276455,116069,2.3818159887653034,5013664,3721600,1292064,157369,124612,1.9386840999359265,0.01743700006045401,local
case_046,5,276455,111389,2.4818877986156624,4672800,4672800,0,111389,131039,2.0152800999348983,0.0208993999985978,local
case_047,2,326508,276535,1.180711302366789,4380996,4380996,0,276535,244217,83.73008402064443,0.41179938800632954,server
case_047,3,326508,241969,1.3493794659646483,5051902,5051902,0,241969,209006,90.77252006344497,0.4251921456307173,server
case_047,4,326508,225654,1.446940891807812,5078720,5078720,0,225654,192435,88.4906212836504,0.5567473769187927,server
case_047,5,326508,222583,1.4669044805757852,5064318,5064318,0,222583,181515,87.38552086800337,0.49689393676817417,server
case_048,2,222220,197496,1.1251873455664925,1716280,1716280,0,197496,175656,7.267940316349268,0.05684182047843933,server
case_048,3,222220,197613,1.1245211600451388,1716280,1716280,0,197613,150457,7.561120215803385,0.046685028821229935,server
case_048,4,222220,197613,1.1245211600451388,1716280,1716280,0,197613,150287,7.053668614476919,0.05824073404073715,server
case_048,5,222220,197613,1.1245211600451388,1716280,1716280,0,197613,150430,7.490908721461892,0.05884102173149586,server
