case,cores,seed,config,makespan,speedup,added_copy_bytes,solve_seconds,best_candidate,structural_evaluations,baseline_makespan,time_reduction_pct,baseline_added_bytes,structural_best,max_unique_structural,baseline_best_candidate,baseline_winner_evaluated,same_label_candidate_times
case_040,4,0,shared_region,142257,1.7816627652769284,4018142,13.450963435694575,region_boundary_6297_0,0,142257,0.0,4018142,,0,region_boundary_6297_0,True,[142257]
case_090,2,0,component_guard,625263,1.884587765468291,18405960,5.27567589096725,region_repartition_3_0,0,625263,0.0,18405960,,1,region_repartition_3_0,True,[625263]
case_040,4,0,component_slot,142257,1.7816627652769284,4018142,12.323253827169538,region_boundary_6297_0,0,142257,0.0,4018142,,1,region_boundary_6297_0,True,[142257]
case_090,2,0,component_slot,625263,1.884587765468291,18405960,6.039343612268567,region_repartition_3_0,0,625263,0.0,18405960,,1,region_repartition_3_0,True,[625263]
case_090,3,0,shared_region,550183,2.1417655580052455,25354368,5.066818619146943,region_boundary_1435_0,0,550183,0.0,25354368,,0,region_boundary_1435_0,True,[550183]
case_090,3,0,component_guard,550183,2.1417655580052455,25354368,4.460717273876071,region_boundary_1435_0,0,550183,0.0,25354368,,1,region_boundary_1435_0,True,[550183]
case_090,3,0,component_slot,550183,2.1417655580052455,25354368,5.481613473966718,region_boundary_1435_0,0,550183,0.0,25354368,,1,region_boundary_1435_0,True,[550183]
case_090,4,0,shared_region,527825,2.232488040543741,19402440,6.078752355650067,region_placement_0,0,527825,0.0,19402440,,0,region_placement_0,True,[527825]
case_040,5,0,shared_region,142985,1.7725915305801307,4050916,14.52753508836031,local_reschedule,0,142985,0.0,4050916,,0,local_reschedule,True,[142985]
case_040,5,0,component_slot,142985,1.7725915305801307,4050916,14.079527663066983,local_reschedule,0,142985,0.0,4050916,,1,local_reschedule,True,[142985]
case_040,5,0,component_guard,142985,1.7725915305801307,4050916,14.509575504809618,local_reschedule,0,142985,0.0,4050916,,1,local_reschedule,True,[142985]
case_090,4,0,component_guard,527825,2.232488040543741,19402440,6.021213373169303,region_placement_0,0,527825,0.0,19402440,,1,region_placement_0,True,[527825]
case_090,4,0,component_slot,527825,2.232488040543741,19402440,6.134864469990134,region_placement_0,0,527825,0.0,19402440,,1,region_placement_0,True,[527825]
case_090,5,0,component_guard,509204,2.3141275402392756,19405512,5.677958196029067,directed_split,0,509204,0.0,19405512,,1,directed_split,True,"[536782, 509204, 509238]"
case_090,5,0,shared_region,509204,2.3141275402392756,19405512,6.331333890557289,directed_split,0,509204,0.0,19405512,,0,directed_split,True,"[536782, 509204, 509238]"
case_090,5,0,component_slot,509204,2.3141275402392756,19405512,6.377307230606675,directed_split,0,509204,0.0,19405512,,1,directed_split,True,"[536782, 509204, 509238]"
case_097,2,0,component_guard,5247114,2.1900627659319007,85295104,35.36366210132837,region_boundary_5781_0,0,5247114,0.0,85295104,,1,region_boundary_5781_0,True,[5247114]
case_097,2,0,shared_region,5247114,2.1900627659319007,85295104,34.427288388833404,region_boundary_5781_0,0,5247114,0.0,85295104,,0,region_boundary_5781_0,True,[5247114]
case_097,2,0,component_slot,5247114,2.1900627659319007,85295104,36.89819402061403,region_boundary_5781_0,0,5247114,0.0,85295104,,1,region_boundary_5781_0,True,[5247114]
case_097,3,0,component_guard,3509566,3.2743390493297464,85327872,40.37055327557027,directed_split,0,3509566,0.0,85327872,,1,directed_split,True,"[3616718, 3539378, 3540494, 3509566]"
case_097,3,0,shared_region,3509566,3.2743390493297464,85327872,41.74404412135482,directed_split,0,3509566,0.0,85327872,,0,directed_split,True,"[3616718, 3539378, 3540494, 3509566]"
case_097,3,0,component_slot,3509566,3.2743390493297464,85327872,39.50919304229319,directed_split,0,3509566,0.0,85327872,,1,directed_split,True,"[3616718, 3539378, 3540494, 3509566]"
case_097,4,0,component_slot,2705741,4.247083885708204,92076032,38.111724549904466,directed_split,0,2705741,0.0,92076032,,1,directed_split,True,"[2714548, 2729567, 2705741]"
case_097,4,0,component_guard,2705741,4.247083885708204,92076032,42.71624251641333,directed_split,0,2705741,0.0,92076032,,1,directed_split,True,"[2714548, 2729567, 2705741]"
case_097,5,0,shared_region,2179047,5.273639806759561,92065792,39.49402239732444,directed_split,0,2179047,0.0,92065792,,0,directed_split,True,"[2205856, 2200016, 2183064, 2179047]"
case_097,4,0,shared_region,2705741,4.247083885708204,92076032,43.364697778597474,directed_split,0,2705741,0.0,92076032,,0,directed_split,True,"[2714548, 2729567, 2705741]"
case_097,5,0,component_guard,2179047,5.273639806759561,92065792,41.84007613174617,directed_split,0,2179047,0.0,92065792,,1,directed_split,True,"[2205856, 2200016, 2183064, 2179047]"
case_097,5,0,component_slot,2179047,5.273639806759561,92065792,44.31434975191951,directed_split,0,2179047,0.0,92065792,,1,directed_split,True,"[2205856, 2200016, 2183064, 2179047]"
