case,cores,arm,makespan,bytes,reference,reference_seconds,speedup,base_makespan,base_bytes,base_plan_sha256,slots,official_calls,cache_hits,solve_seconds,replay_seconds,diagnostic_seconds,replay_equal
50,2,placement_corrected,87435,1021654,149690,0.6158909592777491,1.712014639446446,87435,1021654,3c261147e0645247d12a6eb6e18cf053c1fe76e89ee9d50e2b8974b7b3a0c584,8,8,0,5.7989859487861395,0.7382117602974176,0.0,True
50,2,placement_reference,87435,1022694,149690,0.6158909592777491,1.712014639446446,87435,1022694,f3f32d0ea4924d86ace85da9826fc8c068ae50ac0453693306b8b6272dcefd33,8,8,0,5.714347507804632,0.746038381010294,0.0,True
50,3,j_guided,60479,1834792,149690,0.6158909592777491,2.4750739926255396,60480,1834792,0e3e524fac74a66775ba914c28bb3cf055450b178ac2a329266b74205a1469a1,12,12,0,15.929681466892362,0.8629380371421576,0.7758524212986231,True
50,3,j_mixed,60479,1834792,149690,0.6158909592777491,2.4750739926255396,60480,1834792,0e3e524fac74a66775ba914c28bb3cf055450b178ac2a329266b74205a1469a1,12,12,0,15.888287050649524,0.8224431816488504,0.7841843124479055,True
50,3,j_ordinary,60421,1831624,149690,0.6158909592777491,2.477449893249036,60480,1834792,0e3e524fac74a66775ba914c28bb3cf055450b178ac2a329266b74205a1469a1,12,12,0,12.29324752651155,0.8433635458350182,0.0,True
50,3,placement_corrected,60480,1834792,149690,0.6158909592777491,2.475033068783069,60480,1834792,0e3e524fac74a66775ba914c28bb3cf055450b178ac2a329266b74205a1469a1,8,8,0,6.066793212667108,0.8520232103765011,0.0,True
50,3,placement_reference,60480,1834792,149690,0.6158909592777491,2.475033068783069,60480,1834792,0e3e524fac74a66775ba914c28bb3cf055450b178ac2a329266b74205a1469a1,8,8,0,6.006525214761496,0.8473045192658901,0.0,True
50,4,j_guided,58032,2056112,149690,0.6158909592777491,2.5794389302453817,58032,2056112,5dea35797b2c1d5931879c54d6b1eeba111a110fad8efd125766042843b1e424,12,12,0,17.982863921672106,0.872340964153409,0.8246819321066141,True
50,4,j_mixed,58032,2056112,149690,0.6158909592777491,2.5794389302453817,58032,2056112,5dea35797b2c1d5931879c54d6b1eeba111a110fad8efd125766042843b1e424,12,12,0,17.236559875309467,0.8238899763673544,0.7696215342730284,True
50,4,j_ordinary,57912,2053712,149690,0.6158909592777491,2.584783809918497,58032,2056112,5dea35797b2c1d5931879c54d6b1eeba111a110fad8efd125766042843b1e424,12,12,0,12.991104362532496,0.8413704335689545,0.0,True
50,4,placement_corrected,58032,2056112,149690,0.6158909592777491,2.5794389302453817,58032,2056112,5dea35797b2c1d5931879c54d6b1eeba111a110fad8efd125766042843b1e424,8,8,0,6.050780834630132,0.8446573037654161,0.0,True
