kind,case,cores,arm,makespan,bytes,reference,speedup,official_calls,cache_hits,solve_seconds,replay_seconds,seed_seconds,reference_seconds,assessment_seconds,invalid_candidates
regression,35,4,reserve,63767,1505978,169571,2.6592281274013203,12,0,10.177813747897744,0.6209936439990997,0,0.0,7.036254486069083,0
regression,35,5,reserve,58308,1058710,169571,2.9081944158606023,12,0,10.98432126455009,0.5954184345901012,0,0.0,7.073082290589809,0
regression,35,5,fast,58308,1058710,169571,2.9081944158606023,12,0,10.492062190547585,0.5904591102153063,0,0.0,6.995714431628585,0
regression,48,2,reserve,150049,467846,222220,1.4809828789262174,12,0,3.6000098027288914,0.22352031990885735,0,0.0,2.8012652155011892,0
regression,48,2,fast,150049,467846,222220,1.4809828789262174,12,0,3.537648359313607,0.21521546319127083,0,0.0,2.838715920224786,0
regression,48,3,fast,114626,1177612,222220,1.9386526616997888,12,0,5.53287742100656,0.2754787988960743,0,0.0,3.0836550425738096,0
regression,48,3,reserve,114626,1177612,222220,1.9386526616997888,12,0,5.709588088095188,0.2755760569125414,0,0.0,3.1282083224505186,0
regression,48,4,reserve,114384,1270930,222220,1.9427542313610295,12,0,6.533666951581836,0.301144003868103,0,0.0,3.211188852787018,0
regression,48,4,fast,114384,1270930,222220,1.9427542313610295,12,0,6.39058574102819,0.30508971214294434,0,0.0,3.2268112394958735,0
regression,48,5,fast,101641,1273560,222220,2.1863224486181756,12,0,7.1533304788172245,0.2904884498566389,0,0.0,3.166585210710764,0
regression,48,5,reserve,101641,1273560,222220,2.1863224486181756,12,0,7.370097758248448,0.2812685929238796,0,0.0,3.2205548100173473,0
regression,49,2,fast,126174,1027062,196276,1.5555978252254823,12,0,9.759507229551673,0.6867664139717817,0,0.0,8.254144050180912,0
regression,49,2,reserve,126174,1027062,196276,1.5555978252254823,12,0,10.198764070868492,0.6833640914410353,0,0.0,8.336954383179545,0
regression,49,3,reserve,83711,2408560,196276,2.344685883575635,12,0,13.112808357924223,0.8569700513035059,0,0.0,9.417827684432268,0
regression,49,3,fast,83711,2408560,196276,2.344685883575635,12,0,13.013229928910732,0.8498405329883099,0,0.0,9.532603956758976,0
regression,49,4,fast,75814,2607184,196276,2.5889149761257815,12,0,13.837279936298728,0.8724110089242458,0,0.0,9.398142451420426,0
regression,49,4,reserve,75814,2607184,196276,2.5889149761257815,12,0,14.304504668340087,0.8622338399291039,0,0.0,9.474989891052246,0
regression,49,5,reserve,76846,2907980,196276,2.554147255550061,12,0,15.65096490457654,0.8946417812258005,0,0.0,9.782496215775609,0
regression,49,5,fast,76846,2907980,196276,2.554147255550061,12,0,15.07839746773243,0.8949266951531172,0,0.0,9.731997502967715,0
regression,50,2,reserve,87435,1022694,149690,1.712014639446446,12,0,11.62722490169108,0.8132448680698872,0,0.0,9.212355708703399,0
regression,50,2,fast,87435,1022694,149690,1.712014639446446,12,0,11.119876077398658,0.7859417889267206,0,0.0,9.09033253788948,0
regression,50,3,fast,60421,1831624,149690,2.477449893249036,12,0,13.381314117461443,0.8875041399151087,0,0.0,9.81129370443523,0
regression,50,3,reserve,60421,1831624,149690,2.477449893249036,12,0,13.877907402813435,0.8867747113108635,0,0.0,9.908494733273983,0
regression,50,4,reserve,57912,2053712,149690,2.584783809918497,12,0,15.143337849527597,0.886423522606492,0,0.0,10.13568695820868,0
regression,50,4,fast,57912,2053712,149690,2.584783809918497,12,0,14.882966428995132,0.9307498801499605,0,0.0,10.21744360588491,0
regression,50,5,fast,57017,1337182,149690,2.625357349562411,12,0,13.579201010987163,0.7511665672063828,0,0.0,9.414857391268015,0
regression,50,5,reserve,57017,1337182,149690,2.625357349562411,12,0,14.096132893115282,0.7516150306910276,0,0.0,9.429734101518989,0
regression,64,2,reserve,14130,47620,19116,1.3528662420382165,12,0,1.9636918939650059,0.09027206711471081,0,0.0,1.0967204384505749,0
regression,64,2,fast,14130,47620,19116,1.3528662420382165,12,0,1.9438692163676023,0.0898446086794138,0,0.0,1.1025632675737143,0
regression,64,3,fast,13074,41446,19116,1.4621385956860946,12,0,1.5567973759025335,0.09060055948793888,0,0.0,1.112666605040431,0
regression,64,3,reserve,13074,41446,19116,1.4621385956860946,12,0,1.6181911826133728,0.08646552823483944,0,0.0,1.109275309368968,0
regression,64,4,reserve,10160,130956,19116,1.881496062992126,12,0,2.9006514251232147,0.11275545135140419,0,0.0,1.221967799589038,0
regression,64,4,fast,10160,130956,19116,1.881496062992126,12,0,2.837133912369609,0.11263874918222427,0,0.0,1.2222421802580357,0
regression,64,5,fast,11391,159314,19116,1.6781669739267844,12,0,3.316255623474717,0.1207493506371975,0,0.0,1.2860194239765406,0
regression,64,5,reserve,11391,159314,19116,1.6781669739267844,12,0,3.3777652624994516,0.1203125137835741,0,0.0,1.2898171860724688,0
regression,69,2,fast,17030,364198,25144,1.4764533176746917,12,0,2.395107351243496,0.1157065574079752,0,0.0,1.3966030403971672,0
regression,69,2,reserve,17030,364198,25144,1.4764533176746917,12,0,2.441408658400178,0.1186638530343771,0,0.0,1.3948147278279066,0
regression,69,3,reserve,14179,325098,25144,1.7733267508286903,12,0,2.9225201699882746,0.12191560119390488,0,0.0,1.4012251179665327,0
regression,69,3,fast,14179,325098,25144,1.7733267508286903,12,0,2.8866764083504677,0.12350325286388397,0,0.0,1.4196034036576748,0
regression,69,4,fast,15620,361896,25144,1.609731113956466,12,0,2.0600670985877514,0.1169548537582159,0,0.0,1.4253121353685856,0
regression,69,4,reserve,15620,361896,25144,1.609731113956466,12,0,2.1504584793001413,0.1132081039249897,0,0.0,1.4420904573053122,0
regression,69,5,reserve,13147,433008,25144,1.9125275728303035,12,0,3.933772277086973,0.13106691651046276,0,0.0,1.5418074503540993,0
regression,69,5,fast,13147,433008,25144,1.9125275728303035,12,0,3.8399619199335575,0.13082940317690372,0,0.0,1.5285618156194687,0
regression,71,2,fast,12313,171622,18919,1.5365061317306912,12,0,1.600514017045498,0.0723451878875494,0,0.0,0.9131114333868027,0
regression,71,2,reserve,12313,171622,18919,1.5365061317306912,12,0,1.6353081408888102,0.08132068067789078,0,0.0,0.9217931870371103,0
regression,71,3,reserve,9867,250696,18919,1.9174014391405696,12,0,1.9878450632095337,0.0811493806540966,0,0.0,0.9535442814230919,0
regression,71,3,fast,9867,250696,18919,1.9174014391405696,12,0,1.9505953416228294,0.07665852457284927,0,0.0,0.9611220955848694,0
regression,71,4,fast,10732,223406,18919,1.762858740216176,12,0,2.283763563260436,0.08319023996591568,0,0.0,0.9888072349131107,0
regression,71,4,reserve,10732,223406,18919,1.762858740216176,12,0,2.3310420904308558,0.0862049013376236,0,0.0,0.982765207067132,0
regression,71,5,reserve,10542,307214,18919,1.7946309998102827,12,0,2.725435219705105,0.09388121962547302,0,0.0,1.0286928303539753,0
regression,71,5,fast,10542,307214,18919,1.7946309998102827,12,0,2.676676595583558,0.09159377589821815,0,0.0,1.0441503562033176,0
regression,86,2,reserve,74609,1019206,118403,1.5869801230414562,12,0,14.232922932133079,0.8951109293848276,0,0.0,11.548251636326313,0
regression,86,2,fast,74609,1019206,118403,1.5869801230414562,12,0,13.634517194703221,0.9067918974906206,0,0.0,11.40335251763463,0
regression,86,3,fast,63229,2197292,118403,1.8726059244966708,12,0,21.61047888547182,1.1090741977095604,0,0.0,12.304798098281026,0
regression,86,3,reserve,63229,2197292,118403,1.8726059244966708,12,0,22.21150653809309,1.070675816386938,0,0.0,12.333903903141618,0
regression,86,4,reserve,62299,2353614,118403,1.9005602016083725,12,0,25.591401362791657,1.002953628078103,0,0.0,12.368077574297786,0
regression,86,4,fast,62299,2353614,118403,1.9005602016083725,12,0,25.498137567192316,1.0186788849532604,0,0.0,12.380950003862381,0
regression,86,5,fast,60402,2265748,118403,1.9602496606072646,12,0,27.295695204287767,1.0097405649721622,0,0.0,12.058704344555736,0
regression,86,5,reserve,60402,2265748,118403,1.9602496606072646,12,0,28.056658109650016,1.0272935647517443,0,0.0,12.08294695802033,0
regression,88,2,reserve,132639,1032234,243623,1.8367373095394266,12,0,7.756993260234594,0.5294209662824869,0,0.0,6.124512845650315,0
regression,88,2,fast,132639,1032234,243623,1.8367373095394266,12,0,7.401484655216336,0.5085194986313581,0,0.0,6.041636809706688,0
regression,88,3,fast,122079,1572244,243623,1.9956175918872205,12,0,8.031946063041687,0.5150432717055082,0,0.0,6.092641839757562,0
regression,88,3,reserve,122079,1572244,243623,1.9956175918872205,12,0,8.244712268933654,0.5377975478768349,0,0.0,6.066414829343557,0
regression,88,4,reserve,112565,2028164,243623,2.1642873006707237,12,0,8.841935673728585,0.5253825020045042,0,0.0,6.112534586340189,0
regression,88,4,fast,112565,2028164,243623,2.1642873006707237,12,0,8.508996799588203,0.5068507716059685,0,0.0,6.120828844606876,0
regression,88,5,fast,112833,2034888,243623,2.1591467035353133,12,0,9.081451181322336,0.5111980251967907,0,0.0,6.152755508199334,0
regression,88,5,reserve,112833,2034888,243623,2.1591467035353133,12,0,9.483244802802801,0.5236470196396112,0,0.0,6.200045872479677,0
