case,cores,arm,makespan,bytes,reference,reference_seconds,speedup,base_makespan,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal
50,2,legacy,96256,1390498,149690,0.6192868296056986,1.5551238364361701,96256,12,12,0,13.683510547503829,0.9016138836741447,True
50,2,reference,87435,1022694,149690,0.6192868296056986,1.712014639446446,87435,12,12,0,10.235296560451388,0.7612714245915413,True
50,2,routed,87435,1022694,149690,0.6192868296056986,1.712014639446446,87435,12,12,0,10.596578728407621,0.7258253078907728,True
50,3,legacy,60421,1831624,149690,0.6192868296056986,2.477449893249036,60480,12,12,0,11.842996288090944,0.8100804183632135,True
50,3,reference,60421,1831624,149690,0.6192868296056986,2.477449893249036,60480,12,12,0,11.914334427565336,0.8162885867059231,True
50,3,routed,60421,1831624,149690,0.6192868296056986,2.477449893249036,60480,12,12,0,12.605950271710753,0.8127887472510338,True
50,4,legacy,57912,2053712,149690,0.6192868296056986,2.584783809918497,58032,12,12,0,12.880223071202636,0.8257153276354074,True
50,4,reference,57912,2053712,149690,0.6192868296056986,2.584783809918497,58032,12,12,0,13.029218496754766,0.8300773557275534,True
50,4,routed,57912,2053712,149690,0.6192868296056986,2.584783809918497,58032,12,12,0,13.419509680941701,0.8438423965126276,True
50,5,legacy,57909,2121814,149690,0.6192868296056986,2.5849177157263985,57967,12,12,0,13.970448348671198,0.8585904836654663,True
50,5,reference,57017,1337182,149690,0.6192868296056986,2.625357349562411,57017,12,12,0,11.989513715729117,0.6864974275231361,True
50,5,routed,57017,1337182,149690,0.6192868296056986,2.625357349562411,57017,12,12,0,12.476691687479615,0.6761622410267591,True
22,2,legacy,27860,145236,56780,0.11521054059267044,2.0380473797559224,27977,12,10,2,1.795158363878727,0.12756203301250935,True
22,2,reference,28247,6912,56780,0.11521054059267044,2.010124969023259,28247,12,10,2,1.8055360410362482,0.1262011844664812,True
22,2,routed,27860,145236,56780,0.11521054059267044,2.0380473797559224,27977,12,10,2,1.832238169386983,0.13128886930644512,True
22,3,legacy,18978,13824,56780,0.11521054059267044,2.9918853409210664,18978,12,11,1,1.529992451891303,0.12109417095780373,True
22,3,reference,18978,13824,56780,0.11521054059267044,2.9918853409210664,18978,12,11,1,1.5755941364914179,0.1128329411149025,True
22,3,routed,18978,13824,56780,0.11521054059267044,2.9918853409210664,18978,12,11,1,1.5508353300392628,0.1174048613756895,True
22,4,legacy,14336,20736,56780,0.11521054059267044,3.960658482142857,14336,12,11,1,1.601752134039998,0.12338735163211823,True
22,4,reference,14124,466560,56780,0.11521054059267044,4.020107618238459,14124,12,11,1,2.5596173498779535,0.15555483661592007,True
22,4,routed,14336,20736,56780,0.11521054059267044,3.960658482142857,14336,12,11,1,1.618407417088747,0.112937668338418,True
22,5,legacy,11479,20736,56780,0.11521054059267044,4.9464239045213,11479,12,11,1,1.6593433357775211,0.11871258541941643,True
22,5,reference,11479,20736,56780,0.11521054059267044,4.9464239045213,11479,12,11,1,1.6721705608069897,0.11301961727440357,True
22,5,routed,11479,20736,56780,0.11521054059267044,4.9464239045213,11479,12,11,1,1.6637815739959478,0.12485552579164505,True
24,2,legacy,1382326,3632,2555343,0.9079605471342802,1.8485820276837737,1382326,12,10,2,15.024859899654984,1.1964256316423416,True
24,2,reference,1335245,396856,2555343,0.9079605471342802,1.9137633917370969,1335245,12,10,2,14.200340438634157,1.0487534124404192,True
24,2,routed,1335245,396856,2555343,0.9079605471342802,1.9137633917370969,1335245,12,10,2,14.567180844023824,1.0597968995571136,True
24,3,legacy,982864,5044,2555343,0.9079605471342802,2.5998947972456006,982864,12,10,2,16.198523495346308,1.079691706225276,True
24,3,reference,954537,332124,2555343,0.9079605471342802,2.677049711011726,954537,12,10,2,15.765881977975368,1.0143251977860928,True
24,3,routed,954537,332124,2555343,0.9079605471342802,2.677049711011726,954537,12,10,2,16.19086627289653,1.0298773124814034,True
24,4,legacy,797232,5632,2555343,0.9079605471342802,3.205268980673129,797232,12,10,2,18.132821675390005,1.03935825265944,True
24,4,reference,748435,595068,2555343,0.9079605471342802,3.4142483983245038,748435,12,10,2,17.682905178517103,1.0231132991611958,True
24,4,routed,748435,595068,2555343,0.9079605471342802,3.4142483983245038,748435,12,10,2,18.217459324747324,1.0801206417381763,True
24,5,legacy,743500,628436,2555343,0.9079605471342802,3.4369105581708137,743500,12,10,2,19.760617265477777,1.056229142472148,True
24,5,reference,695849,432232,2555343,0.9079605471342802,3.672266540585673,695849,12,10,2,19.019584411755204,1.0318754706531763,True
24,5,routed,695849,432232,2555343,0.9079605471342802,3.672266540585673,695849,12,10,2,20.238057516515255,1.0866091847419739,True
35,2,legacy,95406,0,169571,0.42088231071829796,1.7773620107750037,95406,12,10,2,5.206604685634375,0.4630360957235098,True
35,2,reference,93692,801138,169571,0.42088231071829796,1.8098770439311787,93692,12,10,2,6.82453291490674,0.5560079142451286,True
35,2,routed,93692,801138,169571,0.42088231071829796,1.8098770439311787,93692,12,10,2,6.907326307147741,0.558985460549593,True
35,3,legacy,95424,0,169571,0.42088231071829796,1.77702674379611,95424,12,12,0,6.1280327048152685,0.45544554479420185,True
35,3,reference,75717,1276568,169571,0.42088231071829796,2.2395366958542997,75717,12,12,0,8.132455173879862,0.5415519010275602,True
35,3,routed,75717,1276568,169571,0.42088231071829796,2.2395366958542997,75717,12,12,0,8.466036796569824,0.5445958841592073,True
35,4,legacy,84218,783102,169571,0.42088231071829796,2.0134769289225583,84240,12,12,0,12.761667348444462,0.5933064632117748,True
35,4,reference,63767,1505978,169571,0.42088231071829796,2.6592281274013203,63767,12,12,0,8.689977964386344,0.5551734995096922,True
35,4,routed,63767,1505978,169571,0.42088231071829796,2.6592281274013203,63767,12,12,0,9.140927271917462,0.5561229884624481,True
35,5,legacy,80984,344584,169571,0.42088231071829796,2.093882742270078,81497,12,12,0,8.89936270751059,0.46420150250196457,True
35,5,reference,58308,1058710,169571,0.42088231071829796,2.9081944158606023,58555,12,12,0,9.229806451126933,0.5358561705797911,True
35,5,routed,58308,1058710,169571,0.42088231071829796,2.9081944158606023,58555,12,12,0,9.71707533672452,0.5211546923965216,True
